onset	duration	trial_type	response_time	Offer
4.006069	3.517713	accept_dec_ug-respr	2.626906	15
4.006069	3.517713	more_dec_ug-respr	2.626906	15
4.006069	33.500000	block_dec_ug-respr	n/a	n/a
13.557722	3.517647	missed_trial	n/a	25
13.557722	3.517647	less_dec_ug-prop	999.000000	25
23.098806	3.527448	missed_trial	n/a	23
23.098806	3.527448	more_dec_ug-prop	999.000000	23
32.645336	3.532378	missed_trial	n/a	25
32.645336	3.532378	less_dec_ug-prop	999.000000	25
46.198025	3.525151	missed_trial	n/a	23
57.244488	3.524553	missed_trial	n/a	19
69.792564	3.528577	missed_trial	n/a	25
69.792564	3.528577	less_dec_ug-prop	999.000000	25
79.340230	3.527983	missed_trial	n/a	15
90.890340	3.526821	missed_trial	n/a	19
90.890340	3.526821	more_dec_ug-prop	999.000000	19
90.890340	33.500000	block_dec_ug-prop	n/a	n/a
104.439250	3.527999	missed_trial	n/a	17
104.439250	3.527999	more_dec_ug-prop	999.000000	17
113.987050	3.523938	missed_trial	n/a	19
125.536210	3.528996	missed_trial	n/a	25
125.536210	3.528996	more_dec_ug-prop	999.000000	25
138.584180	3.517522	missed_trial	n/a	25
138.584180	3.517522	more_dec_ug-prop	999.000000	25
153.117810	3.526509	missed_trial	n/a	23
165.665070	3.528290	missed_trial	n/a	25
165.665070	3.528290	less_dec_ug-prop	999.000000	25
176.713330	3.524458	missed_trial	n/a	25
190.260700	3.530621	missed_trial	n/a	23
190.260700	33.500000	block_dec_dg-prop	n/a	n/a
201.811770	3.525378	missed_trial	n/a	25
212.858630	3.529642	missed_trial	n/a	23
224.408940	3.525895	missed_trial	n/a	17
224.408940	3.525895	less_dec_ug-prop	999.000000	17
235.957820	3.531812	missed_trial	n/a	25
245.505130	3.525260	missed_trial	n/a	15
258.053300	3.529720	missed_trial	n/a	23
273.637240	3.527290	missed_trial	n/a	25
273.637240	3.527290	more_dec_ug-prop	999.000000	25
283.185000	3.532703	missed_trial	n/a	25
283.185000	3.532703	more_dec_ug-prop	999.000000	25
283.185000	33.500000	block_dec_ug-prop	n/a	n/a
296.233760	3.522344	missed_trial	n/a	17
307.781430	3.518169	missed_trial	n/a	25
324.813900	3.524538	missed_trial	n/a	17
335.861600	3.527058	missed_trial	n/a	21
350.911620	3.525017	missed_trial	n/a	17
360.457730	3.527217	missed_trial	n/a	25
375.508000	3.524463	missed_trial	n/a	19
385.054570	3.527919	missed_trial	n/a	19
385.054570	33.500000	block_dec_dg-prop	n/a	n/a
402.104000	3.527864	missed_trial	n/a	15
414.651950	3.528075	missed_trial	n/a	19
427.200500	3.529360	missed_trial	n/a	15
