Time(H:M:S.mS)	X	Y	Z	Pitch	Yaw	Roll	Position circle	Angle circle	Movie Time	Events
12:24:05.269	-0.111621093749989	0.111621093749989	0	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	Zeroed
12:24:05.371	-0.111621093749989	0	0	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:05.478	-0.111621093749989	0.111621093749989	-0.111621093749989	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:05.591	-0.111621093749989	0	-0.111621093749989	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:05.699	-0.111621093749989	0	-0.111621093749989	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:05.807	-0.111621093749989	0	-0.111621093749989	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:05.920	-0.111621093749989	0	-0.111621093749989	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.025	-0.111621093749989	0	-0.111621093749989	0	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.138	-0.111621093749989	0	-0.111621093749989	-0.02197265625	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.245	-0.111621093749989	0	-0.223242187499977	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:06.360	-0.111621093749989	0	-0.223242187499977	-0.02197265625	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.466	-0.111621093749989	0	-0.223242187499977	-0.02197265625	0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.783	-0.111621093749989	0	-0.223242187499977	0	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.795	-0.111621093749989	0	-0.223242187499977	0	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:06.902	-0.111621093749989	0	-0.111621093749989	-0.02197265625	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.014	0	0	-0.111621093749989	-0.02197265625	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.121	0	0	-0.111621093749989	-0.02197265625	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.229	0	-0.111621093749989	-0.111621093749989	-0.02197265625	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.343	0	-0.111621093749989	-0.111621093749989	-0.02197265625	0.02197265625	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.449	0	-0.111621093749989	-0.223242187499977	-0.02197265625	0	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.556	0	-0.111621093749989	-0.223242187499977	-0.02197265625	0	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.671	0	-0.111621093749989	-0.223242187499977	-0.02197265625	0	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.778	0	-0.111621093749989	-0.223242187499977	-0.02197265625	0	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.884	0	-0.111621093749989	-0.223242187499977	-0.02197265625	0	0.02197265625	Inner	Inner	00:00:00.000	
12:24:07.998	0	-0.111621093749989	-0.223242187499977	-0.0439453125	0	0.02197265625	Inner	Inner	00:00:00.000	
12:24:08.105	0	-0.111621093749989	-0.223242187499977	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.212	0	-0.111621093749989	-0.223242187499977	-0.0439453125	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.325	0	-0.111621093749989	-0.223242187499977	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.433	0	-0.111621093749989	-0.223242187499977	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.545	0	-0.111621093749989	-0.223242187499977	-0.02197265625	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.653	0	-0.111621093749989	-0.334863281250023	-0.02197265625	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.883	0	-0.111621093749989	-0.334863281250023	-0.02197265625	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:08.980	0	-0.111621093749989	-0.334863281250023	-0.02197265625	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.093	0	-0.111621093749989	-0.334863281250023	-0.02197265625	-0.0439453125	0.02197265625	Inner	Inner	00:00:00.000	
12:24:09.199	0	-0.111621093749989	-0.334863281250023	-0.02197265625	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.308	0	-0.223242187500006	-0.334863281250023	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.420	0	-0.223242187500006	-0.334863281250023	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.528	0	-0.223242187500006	-0.334863281250023	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.634	0	-0.223242187500006	-0.334863281250023	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.748	0	-0.223242187500006	-0.223242187499977	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.937	0	-0.223242187500006	-0.223242187499977	-0.06591796875	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:09.996	0	-0.223242187500006	-0.223242187499977	-0.06591796875	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.077	0	-0.223242187500006	-0.223242187499977	-0.06591796875	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.184	0	-0.223242187500006	-0.223242187499977	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.291	0	-0.223242187500006	-0.223242187499977	-0.0439453125	-0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.403	0	-0.223242187500006	-0.223242187499977	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.510	-0.111621093749989	-0.223242187500006	-0.223242187499977	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.623	0	-0.223242187500006	-0.223242187499977	-0.02197265625	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.731	0	-0.223242187500006	-0.111621093749989	-0.02197265625	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.837	0	-0.223242187500006	-0.111621093749989	-0.02197265625	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:10.949	0	-0.223242187500006	-0.111621093749989	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.057	0	-0.111621093749989	-0.111621093749989	-0.0439453125	0	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.206	0	-0.111621093749989	-0.111621093749989	-0.02197265625	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.285	-0.111621093749989	-0.111621093749989	-0.111621093749989	-0.02197265625	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.496	-0.111621093749989	-0.223242187500006	-0.111621093749989	-0.02197265625	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.506	-0.111621093749989	-0.223242187500006	-0.111621093749989	-0.02197265625	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.609	-0.111621093749989	-0.111621093749989	-0.111621093749989	-0.02197265625	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.715	-0.111621093749989	-0.111621093749989	-0.111621093749989	0	0.02197265625	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.828	-0.111621093749989	-0.111621093749989	0	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:11.935	-0.111621093749989	-0.111621093749989	0	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.042	-0.111621093749989	-0.111621093749989	0	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.155	-0.111621093749989	-0.111621093749989	0	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.263	-0.111621093749989	-0.111621093749989	0	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.371	-0.111621093749989	-0.111621093749989	0	-0.02197265625	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.484	-0.111621093749989	-0.111621093749989	0	0	0.06591796875	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.592	-0.223242187500006	-0.111621093749989	0	0	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.699	-0.223242187500006	-0.111621093749989	0	0	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:12.813	-0.223242187500006	-0.111621093749989	0	0	0.0439453125	0.0439453125	Inner	Inner	00:00:00.000	
12:24:13.395	-0.223242187500006	0	0.111621093749989	0	0.06591796875	0.0439453125	Inner	Inner	00:00:00.000	
12:24:13.467	-0.223242187500006	0	0.111621093749989	0	0.06591796875	0.0439453125	Inner	Inner	00:00:00.000	
