participant_id,redcap_event_name,screen_age,screen_gendertext,screen_race,screen_racetext,screen_ethnicity_games
1240,screening_process_arm_1,21.41579453,,5,,0
1240,appointment_1_arm_1,,,,,
1242,screening_process_arm_1,20.03326557,,5,,0
1242,appointment_1_arm_1,,,,,
1243,screening_process_arm_1,24.64104898,,5,,0
1243,appointment_1_arm_1,,,,,
1244,screening_process_arm_1,26.28105528,,5,,0
1244,appointment_1_arm_1,,,,,
1245,screening_process_arm_1,20.83547232,,5,,0
1245,appointment_1_arm_1,,,,,
1247,screening_process_arm_1,20.98605721,,5,,0
1247,appointment_1_arm_1,,,,,
1248,screening_process_arm_1,23.52398292,,2,,1
1248,appointment_1_arm_1,,,,,
1249,screening_process_arm_1,19.35962637,,5,,0
1249,appointment_1_arm_1,,,,,
1251,screening_process_arm_1,21.88409071,,2,,1
1251,appointment_1_arm_1,,,,,
1253,screening_process_arm_1,19.17630068,,5,,0
1253,appointment_1_arm_1,,,,,
1255,screening_process_arm_1,19.87172906,,2,,1
1255,appointment_1_arm_1,,,,,
1264,screening_process_arm_1,21.86766326,,5,,0
1264,appointment_1_arm_1,,,,,
1276,screening_process_arm_1,21.00522256,,5,,0
1276,appointment_1_arm_1,,,,,
1282,screening_process_arm_1,20.32610754,,6,Asian and white,1
1282,appointment_1_arm_1,,,,,
1286,screening_process_arm_1,22.68344547,,2,,1
1286,appointment_1_arm_1,,,,,
1294,screening_process_arm_1,21.71160257,,5,,0
1294,appointment_1_arm_1,,,,,
1299,screening_process_arm_1,19.49378381,,2,,1
1299,appointment_1_arm_1,,,,,
1300,screening_process_arm_1,20.38634149,,5,,0
1300,appointment_1_arm_1,,,,,
1301,screening_process_arm_1,23.44458362,,5,,0
1301,appointment_1_arm_1,,,,,
1302,screening_process_arm_1,23.02032211,,5,,0
1302,appointment_1_arm_1,,,,,
3101,screening_process_arm_1,22.25918397,,3,,1
3101,appointment_1_arm_1,,,,,
3116,screening_process_arm_1,20.1236165,,5,,0
3116,appointment_1_arm_1,,,,,
3122,screening_process_arm_1,20.84094814,,2,,1
3122,appointment_1_arm_1,,,,,
3125,screening_process_arm_1,21.76636071,,5,,0
3125,appointment_1_arm_1,,,,,
3140,screening_process_arm_1,23.07781816,,2,,1
3140,appointment_1_arm_1,,,,,
3143,screening_process_arm_1,20.95867814,,5,,0
3143,appointment_1_arm_1,,,,,
3146,screening_process_arm_1,19.58413474,,2,,1
3146,appointment_1_arm_1,,,,,
3161,screening_process_arm_1,22.38512769,,5,,0
3161,appointment_1_arm_1,,,,,
3164,screening_process_arm_1,20.75595894,,5,,0
3164,appointment_1_arm_1,,,,,
3166,screening_process_arm_1,21.47876639,,2,,1
3166,appointment_1_arm_1,,,,,
3167,screening_process_arm_1,21.83743221,,2,,1
3167,appointment_1_arm_1,,,,,
3170,screening_process_arm_1,19.78126405,,2,,1
3170,appointment_1_arm_1,,,,,
3173,screening_process_arm_1,18.48349612,,2,,1
3173,appointment_1_arm_1,,,,,
3175,screening_process_arm_1,18.42337625,,2,,1
3175,appointment_1_arm_1,,,,,
3176,screening_process_arm_1,19.32140975,,5,,0
3176,appointment_1_arm_1,,,,,
3178,screening_process_arm_1,20.52871266,,3,,1
3178,appointment_1_arm_1,,,,,
3186,screening_process_arm_1,18.5519438,,2,,1
3186,appointment_1_arm_1,,,,,
3189,screening_process_arm_1,23.43922189,,5,,0
3189,appointment_1_arm_1,,,,,
3190,screening_process_arm_1,19.71829218,,3,,1
3190,appointment_1_arm_1,,,,,
TEST4,screening_process_arm_1,,,,,1
TEST4,appointment_1_arm_1,,,,,
