Trial,ISI,ITI,winlose,door_image_L,door_image_R
1,2,5.3,win,obj (1).bmp,obj (2).bmp
2,2,1.1,loss,obj (3).bmp,obj (4).bmp
3,4,1.1,win,obj (5).bmp,obj (6).bmp
