Trial	Block	Onset	Endowment	Response Time	Duration	L_Option	R_Option	Response
1	3	6.52829	25	0.1502416	0.6671259	8.75	0	2
2	3	15.227	17	0.003596299	0.5177162	4.25	0	2
3	3	20.277573	17	0.0658507	0.5822415	5.95	0	3
4	2	--	15	7.0814905	7.598579	0.3	0.5	2
5	2	--	15	15.097639	15.613855	0.5	0.7	2
6	1	--	21	21.94686	22.463577	0.5	0.9	3
7	3	48.77413	25	1.5160089	2.0330212	6.25	0	2
8	2	--	19	8.431794	8.9482975	0.6	1	2
9	1	--	19	17.430513	17.9478	0.6	1.4	3
10	2	--	15	28.479662	28.996603	0.6	1.8	2
11	1	--	19	40.111786	40.62884	0.1	0.9	2
12	3	93.93534	25	1.5492227	2.0657187	3.75	0	3
13	1	--	15	13.797809	14.314718	0.3	2.7	2
14	1	--	17	24.097157	24.613546	0.5	0.9	3
15	2	--	23	30.496672	31.013186	0.2	0.6	2
16	2	--	15	39.86145	40.378155	0.3	0.9	2
17	3	140.34724	19	0.632415	1.1492887	0.95	0	2
18	1	--	23	11.164514	11.681086	0.2	1.4	3
19	1	--	25	19.313314	19.830355	0.3	0.5	3
20	1	--	21	25.69762	26.212528	0.4	2.8	2
21	1	--	25	38.06118	38.578316	0.4	2	3
22	2	--	21	51.45987	51.976845	0.1	0.7	2
23	2	--	23	57.492863	58.01087	0.2	1	2
24	1	--	17	65.774796	66.29179	0.3	2.7	2
25	1	--	15	76.15662	76.67363	0.5	0.7	3
26	2	--	23	85.10609	85.62271	0.7	0.9	2
27	3	230.50249	23	2.1335707	2.6495361	1.15	0	3
28	1	--	19	10.799078	11.315742	0.3	0.5	2
29	2	--	19	17.64896	18.165327	1.4	1.8	3
30	1	--	15	27.813812	28.330786	1.2	2.8	3
31	2	--	19	42.862263	43.378548	0.1	0.3	3
32	2	--	19	51.961105	52.47801	0.3	0.9	2
33	3	287.51276	17	1.2170931	1.7338535	7.65	0	3
34	3	298.77924	25	2.3650093	2.882479	6.25	0	3
35	3	311.69284	21	1.6170931	2.1343625	9.45	0	3
36	1	--	19	11.298803	11.81541	0.5	0.9	2
37	2	--	21	18.198559	18.715359	1.2	2.8	2
38	2	--	21	31.546824	32.06309	0.5	0.7	2
39	1	--	25	38.88076	39.395966	0.6	1.8	2
40	1	--	23	49.99466	50.511116	0.2	0.6	3
41	3	368.73743	23	0.9658621	1.4828115	10.35	0	3
42	3	379.75272	25	0.6329206	1.1498704	11.25	0	3
43	2	--	15	14.763943	15.280991	0.4	1.2	2
44	2	--	21	28.680445	29.195951	0.5	0.7	3
45	2	--	25	35.395195	35.912437	0.3	1.5	3
46	2	--	21	45.877674	46.394188	2.8	3.6	2
47	1	--	15	60.375526	60.89248	0.3	0.5	2
48	1	--	21	66.54185	67.05904	0.3	2.7	2
49	3	455.34357	17	0.6667559	1.1822256	4.25	0	2
50	3	463.05878	19	0.0036023	0.5178273	4.75	0	2
51	2	--	15	11.632137	12.148911	0.9	2.7	3
52	3	483.73987	15	0.6164492	1.133323	5.25	0	2
53	2	--	23	8.08279	8.599243	0.5	0.9	3
54	3	496.87122	17	1.2173212	1.7339782	2.55	0	2
55	3	503.13742	19	1.4345522	1.9512393	0.95	0	2
56	2	--	21	9.566162	10.082692	0.1	0.9	2
57	1	--	15	15.533272	16.048622	0.3	0.7	2
58	3	525.2191	25	0.883283	1.4003748	1.25	0	2
59	1	--	19	8.943675	9.462922	0.1	0.5	2
60	3	539.21704	25	0.5665681	1.083518	8.75	0	3
61	1	--	21	9.248501	9.765996	0.7	0.9	2
62	2	--	25	15.898176	16.41515	0.2	1.4	2
63	3	563.66406	17	0.7333854	1.2504768	2.55	0	2
64	3	573.4472	15	1.5161948	2.0320258	0.75	0	2
65	1	--	15	10.298329	10.81501	0.2	1.4	2
66	1	--	15	18.497139	19.014126	0.5	0.9	3
67	1	--	17	24.596073	25.112612	0.5	0.7	3
68	2	--	25	31.312347	31.828764	1.4	1.8	2
69	3	611.80804	23	0.067495	0.5845377	3.45	0	2
70	2	--	25	11.983082	12.499006	0.3	0.7	2
71	3	628.84106	15	2.7483535	3.2662232	2.25	0	2
72	3	638.13934	15	0.5497183	1.0658097	5.25	0	3
		--		10.315498	10.83205			3
nTrial	Block	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	3	6.5275073	25	0.0043165	0.5171328	8.75	0	3
2	3	15.076737	17	0.7661276	1.2821832	4.25	0	2
3	3	20.892818	17	0.6822459	1.1989416	5.95	0	3
4	2	--	15	6.4647646	6.9815497	0.3	0.5	2
5	2	--	15	13.464608	13.981531	0.5	0.7	3
6	1	--	21	19.363777	19.880556	0.5	0.9	3
7	3	46.805866	25	0.4169587	0.9334417	6.25	0	3
8	2	--	19	5.549628	6.0657697	0.6	1	2
9	1	--	19	12.931613	13.448865	0.6	1.4	3
10	2	--	15	23.780146	24.296808	0.6	1.8	2
11	1	--	19	34.345955	34.863293	0.1	0.9	3
12	3	86.201614	25	0.003686801	0.5171387	3.75	0	2
13	1	--	15	11.198598	11.716386	0.3	2.7	3
14	1	--	17	20.914019	21.43112	0.5	0.9	2
15	2	--	23	26.397964	26.91341	0.2	0.6	3
16	2	--	15	35.36225	35.87874	0.3	0.9	3
17	3	128.11371	19	0.6325869	1.1490334	0.95	0	3
18	1	--	23	9.397901	9.915646	0.2	1.4	2
19	1	--	25	16.897524	17.414558	0.3	0.5	3
20	1	--	21	22.396748	22.913975	0.4	2.8	2
21	1	--	25	33.878613	34.395264	0.4	2	3
22	2	--	21	46.944088	47.46121	0.1	0.7	2
23	2	--	23	52.7597	53.276043	0.2	1	3
24	1	--	17	60.742435	61.259007	0.3	2.7	2
25	1	--	15	71.1742	71.691124	0.5	0.7	2
26	2	--	23	80.37308	80.890335	0.7	0.9	2
27	3	213.53708	23	1.1507224	1.665817	1.15	0	2
28	1	--	19	8.381733	8.898294	0.3	0.5	3
