TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,3,0.750000,1.0,0.0,4.010792,2.0,4.638981,0.6281891,2.0,6.52755,7.534766,3.5239742,7.534998,8.291864
2,2,1,1,1,1,0.750000,1.0,1.0,8.295064,2.0,8.759116,0.4640517,6.0,10.811576,11.82072,3.5256553,11.820905,12.578665
3,3,1,1,1,1,0.750000,1.0,2.0,12.580985,2.0,13.029338,0.44835275,6.0,15.097714,16.10513,3.5241446,16.105331,16.865389
4,4,1,1,1,3,0.750000,1.0,3.0,16.86777,3.0,17.216145,0.3483753,9.0,19.385288,20.394741,3.526972,20.394928,21.152624
5,5,1,1,1,1,0.750000,1.0,4.0,21.155,3.0,21.519817,0.36481592,4.0,23.672379,24.681715,3.5267136,24.6819,25.439545
6,6,1,1,1,1,0.750000,1.0,5.0,25.441914,2.0,26.006733,0.56481946,8.0,27.95926,28.966421,3.524508,28.966612,29.726423
7,7,1,1,1,1,0.750000,1.0,6.0,29.728804,3.0,30.160252,0.43144786,3.0,32.24529,33.25374,3.5249357,33.253994,34.01292
8,8,1,1,1,1,10,1.0,7.0,34.015316,3.0,34.31366,0.29834065,4.0,36.532867,37.539936,3.524617,37.54012,47.540848
9,9,2,3,2,1,0.750000,1.0,8.0,47.545555,2.0,48.141598,0.59604347,9.0,50.062847,51.069626,3.5240707,51.06982,51.827568
10,10,2,3,2,1,0.750000,1.0,9.0,51.830906,3.0,52.22837,0.39746445,4.0,54.348854,55.356716,3.5258114,55.356903,56.11453
11,11,2,3,2,1,0.750000,1.0,10.0,56.116604,2.0,56.49838,0.38177577,6.0,58.634235,59.64174,3.5251353,59.641937,60.401608
12,12,2,3,2,2,0.750000,1.0,11.0,60.403667,3.0,61.169178,0.7655083,5.0,62.920868,63.929676,3.5260081,63.929867,64.6886
