TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,6,3,3,0.750000,1.0,0.0,4.331157,3.0,6.8001204,2.4689634,9.0,6.8479576,7.863573,3.532416,7.8637953,8.617498
2,2,1,6,3,3,0.750000,1.0,1.0,8.889229,2.0,10.01884,1.1296107,2.0,11.406225,12.419429,3.5301995,12.419614,13.171027
3,3,1,6,3,1,0.750000,1.0,2.0,13.44193,3.0,14.522036,1.0801058,1.0,15.958438,16.971684,3.5297534,16.971865,17.724218
4,4,1,6,3,2,0.750000,1.0,3.0,18.00103,2.0,18.841934,0.8409042,5.0,20.519608,21.53328,3.5322492,21.533457,22.294014
5,5,1,6,3,3,0.750000,1.0,4.0,22.563616,2.0,22.994577,0.4309623,4.0,25.081589,26.09439,3.530775,26.094572,26.847113
6,6,1,6,3,3,0.750000,1.0,5.0,27.11629,2.0,28.3485,1.2322108,3.0,29.633457,30.644278,3.5279891,30.644493,31.400415
7,7,1,6,3,3,0.750000,1.0,6.0,31.675898,3.0,32.018066,0.3421686,7.0,34.192432,35.203606,3.5277092,35.20379,35.970135
8,8,1,6,3,3,8,1.0,7.0,36.23835,2.0,36.887787,0.6494375,1.0,38.755947,39.765415,3.527063,39.765594,47.778915
9,9,2,4,2,3,0.750000,1.0,8.0,48.08659,3.0,49.279945,1.1933545,8.0,50.604095,51.61524,3.5286486,51.615417,52.381886
10,10,2,4,2,3,0.750000,1.0,9.0,52.66966,2.0,53.099525,0.429867,4.0,55.18726,56.196644,3.526985,56.196823,56.951736
11,11,2,4,2,3,0.750000,1.0,10.0,57.230534,3.0,57.66929,0.4387515,6.0,59.748005,60.758827,3.5282907,60.759007,61.521927
12,12,2,4,2,2,0.750000,1.0,11.0,61.79581,3.0,62.156063,0.3602536,5.0,64.312614,65.32269,3.5268846,65.322876,66.07509
13,13,2,4,2,3,0.750000,1.0,12.0,66.34885,2.0,66.775795,0.4269514,3.0,68.86647,69.87749,3.528639,69.87766,70.628204
14,14,2,4,2,3,0.750000,1.0,13.0,70.90827,3.0,71.212456,0.3041843,8.0,73.42573,74.43516,3.526886,74.43534,75.19822
15,15,2,4,2,3,0.750000,1.0,14.0,75.47249,2.0,75.79936,0.3268717,4.0,77.98986,78.9995,3.5270095,78.99968,79.75123
16,16,2,4,2,1,12,1.0,15.0,80.02937,2.0,80.31875,0.28937,7.0,82.54742,83.55816,3.5287871,83.55834,95.56263
17,17,3,5,3,1,0.750000,1.0,16.0,95.87776,3.0,96.496826,0.6190669,3.0,98.39482,99.404274,3.5265095,99.40445,100.16572
18,18,3,5,3,1,0.750000,1.0,17.0,100.44021,3.0,100.74999,0.3097848,1.0,102.95779,103.96748,3.5272815,103.96767,104.71915
19,19,3,5,3,1,0.750000,1.0,18.0,104.99056,3.0,105.50287,0.5123018,3.0,107.5081,108.516655,3.5260935,108.51684,109.272316
20,20,3,5,3,1,0.750000,1.0,19.0,109.5827,3.0,109.9061,0.3233937,3.0,112.10021,113.109116,3.5264087,113.10929,113.87554
21,21,3,5,3,1,0.750000,1.0,20.0,114.14667,3.0,114.6265,0.4798325,2.0,116.66437,117.67333,3.5266602,117.67351,118.42874
22,22,3,5,3,1,0.750000,1.0,21.0,118.69668,2.0,118.97951,0.2828269,6.0,121.21404,122.223236,3.5265512,122.22341,122.9821
23,23,3,5,3,3,0.750000,1.0,22.0,123.25037,3.0,123.53297,0.2825963,9.0,125.76769,126.77751,3.5271463,126.7777,127.535
24,24,3,5,3,2,8,1.0,23.0,127.805084,2.0,128.9532,1.1481158,5.0,130.32224,131.33308,3.5280035,131.33327,139.34363
25,25,4,6,3,3,0.750000,1.0,24.0,139.67693,3.0,140.4778,0.8008721,9.0,142.19466,143.20332,3.5264106,143.2035,143.96138
26,26,4,6,3,3,0.750000,1.0,25.0,144.23654,3.0,144.51201,0.2754596,8.0,146.75409,147.76175,3.525208,147.76193,148.51486
27,27,4,6,3,3,0.750000,1.0,26.0,148.78337,2.0,149.51605,0.7326733,1.0,151.30103,152.30867,3.5252948,152.30884,153.06897
28,28,4,6,3,2,0.750000,1.0,27.0,153.33672,3.0,153.8535,0.5167836,5.0,155.85464,156.8652,3.5284853,156.86537,157.62321
29,29,4,6,3,1,0.750000,1.0,28.0,157.89409,3.0,158.30754,0.4134539,3.0,160.41096,161.42175,3.5276737,161.42194,162.1765
30,30,4,6,3,3,0.750000,1.0,29.0,162.44696,2.0,162.76053,0.3135718,3.0,164.96452,165.97427,3.52732,165.97446,166.72989
31,31,4,6,3,3,0.750000,1.0,30.0,167.00511,2.0,167.28065,0.275536,3.0,169.52263,170.53256,3.5274427,170.53273,171.2829
32,32,4,6,3,3,10,1.0,31.0,171.55217,3.0,171.8338,0.2816334,9.0,174.06975,175.07869,3.5265162,175.0789,185.0927
33,33,5,4,2,3,0.750000,1.0,32.0,185.3813,3.0,186.16072,0.7794298,6.0,187.89865,188.90836,3.5270538,188.90854,189.6626
34,34,5,4,2,1,0.750000,1.0,33.0,189.94908,2.0,190.29689,0.3478081,7.0,192.46666,193.47693,3.5278416,193.47711,194.23265
35,35,5,4,2,3,0.750000,1.0,34.0,194.50711,3.0,194.95035,0.4432385,7.0,197.02435,198.03514,3.5280247,198.03532,198.7858
36,36,5,4,2,3,0.750000,1.0,35.0,199.06093,2.0,199.48627,0.4253363,1.0,201.57831,202.5874,3.5264657,202.58759,203.33931
37,37,5,4,2,3,0.750000,1.0,36.0,203.61981,3.0,204.20677,0.5869644,6.0,206.13742,207.14723,3.5274224,207.14742,207.90886
38,38,5,4,2,3,0.750000,1.0,37.0,208.18362,2.0,208.60982,0.4261904,1.0,210.70088,211.71106,3.5274358,211.71124,212.46223
39,39,5,4,2,3,0.750000,1.0,38.0,212.7362,0.0,999.0,999.0,999.0,215.24805,216.26459,3.5283892,216.26477,217.01512
40,40,5,4,2,2,12,1.0,39.0,217.2962,--,--,--,--,--,--,--,--,--
41,41,6,5,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
42,42,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
43,43,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
44,44,6,5,3,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
45,45,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
46,46,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
47,47,6,5,3,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
48,48,6,5,3,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--
49,49,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
50,50,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
51,51,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
52,52,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
53,53,7,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
54,54,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
55,55,7,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
56,56,7,1,1,2,12,0.0,--,--,--,--,--,--,--,--,--,--,--
57,57,8,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
58,58,8,3,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
59,59,8,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
60,60,8,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
61,61,8,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
62,62,8,3,2,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
63,63,8,3,2,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
64,64,8,3,2,1,10,0.0,--,--,--,--,--,--,--,--,--,--,--
65,65,9,2,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
66,66,9,2,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
67,67,9,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
68,68,9,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
69,69,9,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
70,70,9,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
71,71,9,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
72,72,9,2,1,3,10,0.0,--,--,--,--,--,--,--,--,--,--,--
