TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1.5,1,11,25,2,1,1,1.0,0.0,4.99942,5.99799,6.01489,6.01526,7.53143,7.53162,3.0,0.916549,8.44817,11.0478,3.51665,11.0484,12.0536
2,1.5,1,1,21,7,2,2,1.0,1.0,13.0492,14.0478,14.0647,14.065,15.5816,15.5818,3.0,1.58359,17.1654,19.0974,3.51597,19.0979,20.1021
3,3,1,1,23,0,3,3,1.0,2.0,21.0997,22.098,22.115,22.1152,25.1322,25.1324,2.0,1.88282,27.0152,28.6481,3.51612,28.6486,29.653
4,1.5,3,0,15,5,4,3,1.0,3.0,30.649,31.648,31.6647,31.665,33.1813,33.1815,3.0,1.20029,34.3818,36.6969,3.51579,36.6974,39.7017
5,3,1,7,21,0,5,3,1.0,4.0,40.6991,41.6978,41.7149,41.7152,44.7312,44.7314,2.0,2.36678,47.0982,48.2477,3.51662,48.2482,49.2535
6,1.5,1,7,15,3,6,1,1.0,5.0,50.2491,51.2478,51.2647,51.265,52.7812,52.7813,3.0,0.933734,53.7151,56.297,3.51612,56.2976,57.302
7,1.5,1,8,17,5,7,1,1.0,6.0,58.299,59.2975,59.3148,59.3151,60.832,60.8322,3.0,1.24955,62.0817,64.3477,3.51588,64.3482,65.3525
8,4.5,1,1,19,9,8,1,1.0,7.0,66.3494,67.3479,67.3646,67.3649,71.8811,71.8813,2.0,1.16703,73.0483,75.3974,3.51652,75.3979,76.4024
9,3,3,3,17,5,9,2,1.0,8.0,77.3988,78.398,78.4145,78.4149,81.432,81.4322,2.0,0.899466,82.3316,84.9476,3.51586,84.9482,87.9533
10,1.5,1,9,21,0,10,3,1.0,9.0,88.9489,89.9478,89.9644,89.9646,91.4812,91.4814,3.0,1.18353,92.6649,94.9962,3.51523,94.9967,96.0011
11,4.5,3,2,25,0,11,3,1.0,10.0,96.9986,97.9977,98.0145,98.0147,102.531,102.531,3.0,1.16691,103.698,106.047,3.51623,106.048,109.052
12,1.5,5,0,21,1,12,3,1.0,11.0,110.049,111.048,111.065,111.065,112.581,112.581,3.0,0.900093,113.482,116.097,3.51564,116.097,121.102
