TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1.5,3,0,19,1,1,3,1.0,0.0,4.99069,5.98941,6.00621,6.00651,7.52288,7.52311,2.0,1.23375,8.75686,11.0386,3.51604,11.0393,14.0446
2,3,8,6,19,1,2,1,1.0,1.0,15.0407,16.0393,16.0561,16.0564,19.0729,19.0731,3.0,0.950146,20.0232,22.588,3.51529,22.5885,30.592
3,1.5,5,1,21,9,3,1,1.0,2.0,31.591,32.5893,32.6063,32.6066,34.1227,34.1229,2.0,1.04998,35.1729,37.6402,3.51778,37.6408,42.6455
4,1.5,1,5,25,11,4,2,1.0,3.0,43.6407,44.6391,44.6559,44.6562,46.1731,46.1732,2.0,0.933014,47.1062,49.6885,3.51572,49.6891,50.6936
5,3,3,0,25,8,5,3,1.0,4.0,51.6905,52.6892,52.7061,52.7063,55.7224,55.7226,3.0,1.31732,57.0399,59.238,3.51581,59.2385,62.2436
6,1.5,1,0,17,3,6,3,1.0,5.0,63.2403,64.239,64.256,64.2562,65.7725,65.7727,2.0,1.31689,67.0895,69.2889,3.51668,69.2895,70.2936
7,3,3,10,23,7,7,2,1.0,6.0,71.2905,72.2892,72.3057,72.306,75.3226,75.3228,3.0,1.43367,76.7564,78.8388,3.51639,78.8393,81.8437
8,4.5,1,4,21,7,8,2,1.0,7.0,82.8404,83.8391,83.8558,83.8562,88.3724,88.3725,2.0,1.70035,90.0729,91.8882,3.51598,91.8886,92.8926
9,4.5,3,1,17,8,9,2,1.0,8.0,93.8904,94.8891,94.9059,94.9062,99.4224,99.4225,2.0,1.31707,100.74,102.938,3.51593,102.939,105.943
10,4.5,5,7,23,0,10,3,1.0,9.0,106.94,107.939,107.956,107.956,112.472,112.473,2.0,1.48336,113.956,115.988,3.51605,115.989,120.992
11,4.5,3,7,15,0,11,3,1.0,10.0,121.99,122.989,123.006,123.006,127.522,127.523,2.0,1.20025,128.723,131.038,3.51582,131.038,134.043
12,1.5,1,6,19,4,12,1,1.0,11.0,135.04,136.039,136.056,136.056,137.572,137.572,3.0,1.71679,139.289,141.089,3.51688,141.089,142.095
