Trial,ISI,ITI,winlose,door_image_L,door_image_R
1,0.6,5.3,loss,obj (1).bmp,obj (61).bmp
2,0.6,1.1,win,obj (2).bmp,obj (62).bmp
3,0.6,1.1,loss,obj (3).bmp,obj (63).bmp
4,0.6,3.2,loss,obj (4).bmp,obj (64).bmp
5,0.6,5.3,loss,obj (5).bmp,obj (65).bmp
6,0.6,3.2,win,obj (6).bmp,obj (66).bmp
7,0.6,3.2,win,obj (7).bmp,obj (67).bmp
8,0.6,1.1,loss,obj (8).bmp,obj (68).bmp
9,0.6,1.1,win,obj (9).bmp,obj (69).bmp
10,0.6,1.1,win,obj (10).bmp,obj (70).bmp
11,0.6,3.2,win,obj (11).bmp,obj (71).bmp
12,0.6,1.1,loss,obj (12).bmp,obj (72).bmp
13,0.6,5.3,win,obj (13).bmp,obj (73).bmp
14,0.6,1.1,loss,obj (14).bmp,obj (74).bmp
15,0.6,5.3,loss,obj (15).bmp,obj (75).bmp
16,0.6,3.2,win,obj (16).bmp,obj (76).bmp
17,0.6,3.2,loss,obj (17).bmp,obj (77).bmp
18,0.6,3.2,win,obj (18).bmp,obj (78).bmp
19,0.6,11.6,win,obj (19).bmp,obj (79).bmp
20,0.6,5.3,win,obj (20).bmp,obj (80).bmp
21,0.6,5.3,win,obj (21).bmp,obj (81).bmp
22,0.6,3.2,loss,obj (22).bmp,obj (82).bmp
23,0.6,1.1,loss,obj (23).bmp,obj (83).bmp
24,0.6,1.1,win,obj (24).bmp,obj (84).bmp
25,0.6,5.3,loss,obj (25).bmp,obj (85).bmp
26,0.6,5.3,loss,obj (26).bmp,obj (86).bmp
27,0.6,3.2,loss,obj (27).bmp,obj (87).bmp
28,0.6,1.1,loss,obj (28).bmp,obj (88).bmp
29,0.6,3.2,win,obj (29).bmp,obj (89).bmp
30,0.6,1.1,win,obj (30).bmp,obj (90).bmp
31,0.6,1.1,loss,obj (31).bmp,obj (91).bmp
32,0.6,1.1,win,obj (32).bmp,obj (92).bmp
33,0.6,5.3,loss,obj (33).bmp,obj (93).bmp
34,0.6,1.1,loss,obj (34).bmp,obj (94).bmp
35,0.6,3.2,loss,obj (35).bmp,obj (95).bmp
36,0.6,5.3,win,obj (36).bmp,obj (96).bmp
37,0.6,5.3,win,obj (37).bmp,obj (97).bmp
38,0.6,1.1,loss,obj (38).bmp,obj (98).bmp
39,0.6,1.1,win,obj (39).bmp,obj (99).bmp
40,0.6,5.3,win,obj (40).bmp,obj (100).bmp
41,0.6,1.1,win,obj (41).bmp,obj (101).bmp
42,0.6,3.2,loss,obj (42).bmp,obj (102).bmp
43,0.6,7.4,win,obj (43).bmp,obj (103).bmp
44,0.6,1.1,loss,obj (44).bmp,obj (104).bmp
45,0.6,1.1,loss,obj (45).bmp,obj (105).bmp
46,0.6,1.1,win,obj (46).bmp,obj (106).bmp
47,0.6,3.2,loss,obj (47).bmp,obj (107).bmp
48,0.6,5.3,win,obj (48).bmp,obj (108).bmp
49,0.6,5.3,win,obj (49).bmp,obj (109).bmp
50,0.6,5.3,win,obj (50).bmp,obj (110).bmp
51,0.6,3.2,win,obj (51).bmp,obj (111).bmp
52,0.6,1.1,loss,obj (52).bmp,obj (112).bmp
53,0.6,3.2,loss,obj (53).bmp,obj (113).bmp
54,0.6,3.2,win,obj (54).bmp,obj (114).bmp
55,0.6,1.1,loss,obj (55).bmp,obj (115).bmp
56,0.6,1.1,loss,obj (56).bmp,obj (116).bmp
57,0.6,1.1,loss,obj (57).bmp,obj (117).bmp
58,0.6,5.3,loss,obj (58).bmp,obj (118).bmp
59,0.6,5.3,win,obj (59).bmp,obj (119).bmp
60,0.6,5.3,win,obj (60).bmp,obj (120).bmp
