onset	duration	trial_type	response_time	Endowment	DeMeaned
9.022706	1.354304	dec_dg-prop_choice	1.354304	19	n/a
5.006106	2	cue_ug-resp	n/a	19	n/a
5.006106	2	cue_ug-resp_parametric	n/a	19	-1.166667e+00
20.565569	1.270488	dec_ug-prop_choice	1.270488	21	n/a
16.532312	2	cue_dict	n/a	21	n/a
16.532312	2	cue_dict_parametric	n/a	21	1.666667e+00
31.607557	2.488296	dec_ug-resp_choice	2.488296	25	n/a
26.073368	2	cue_ug-prop	n/a	25	n/a
26.073368	2	cue_ug-prop_parametric	n/a	25	6.166667e+00
43.151173	1.687172	dec_ug-prop_choice	1.687172	15	n/a
39.117813	2	cue_dict	n/a	15	n/a
39.117813	2	cue_dict_parametric	n/a	15	-4.333333e+00
51.192070	1.469420	dec_ug-resp_choice	1.469420	19	n/a
48.659096	2	cue_ug-prop	n/a	19	n/a
48.659096	2	cue_ug-prop_parametric	n/a	19	1.666667e-01
66.235340	1.905678	dec_ug-resp_choice	1.905678	17	n/a
60.701920	2	cue_ug-prop	n/a	17	n/a
60.701920	2	cue_ug-prop_parametric	n/a	17	-1.833333e+00
76.278946	1.686417	dec_ug-prop_choice	1.686417	21	n/a
73.746150	2	cue_dict	n/a	21	n/a
73.746150	2	cue_dict_parametric	n/a	21	1.666667e+00
88.322570	1.435878	dec_dg-prop_choice	1.435878	25	n/a
85.789620	2	cue_ug-resp	n/a	25	n/a
85.789620	2	cue_ug-resp_parametric	n/a	25	4.833333e+00
96.362300	1.602831	dec_dg-prop_choice	1.602831	19	n/a
93.829280	2	cue_ug-resp	n/a	19	n/a
93.829280	2	cue_ug-resp_parametric	n/a	19	-1.166667e+00
107.904335	1.203285	dec_ug-resp_choice	1.203285	15	n/a
103.870760	2	cue_ug-prop	n/a	15	n/a
103.870760	2	cue_ug-prop_parametric	n/a	15	-3.833333e+00
117.946980	1.502835	dec_ug-resp_choice	1.502835	19	n/a
115.413540	2	cue_ug-prop	n/a	19	n/a
115.413540	2	cue_ug-prop_parametric	n/a	19	1.666667e-01
128.986920	1.521834	dec_dg-prop_choice	1.521834	19	n/a
123.470200	2	cue_ug-resp	n/a	19	n/a
123.470200	2	cue_ug-resp_parametric	n/a	19	-1.166667e+00
139.031160	1.986373	dec_ug-resp_choice	1.986373	17	n/a
136.497700	2	cue_ug-prop	n/a	17	n/a
136.497700	2	cue_ug-prop_parametric	n/a	17	-1.833333e+00
147.088130	1.569144	dec_dg-prop_choice	1.569144	17	n/a
144.554300	2	cue_ug-resp	n/a	17	n/a
144.554300	2	cue_ug-resp_parametric	n/a	17	-3.166667e+00
156.627600	1.637345	dec_ug-prop_choice	1.637345	15	n/a
152.594280	2	cue_dict	n/a	15	n/a
152.594280	2	cue_dict_parametric	n/a	15	-4.333333e+00
168.672060	1.369054	dec_dg-prop_choice	1.369054	15	n/a
166.138640	2	cue_ug-resp	n/a	15	n/a
166.138640	2	cue_ug-resp_parametric	n/a	15	-5.166667e+00
183.716020	1.254538	dec_ug-resp_choice	1.254538	17	n/a
178.181870	2	cue_ug-prop	n/a	17	n/a
178.181870	2	cue_ug-prop_parametric	n/a	17	-1.833333e+00
195.259960	1.336268	dec_ug-resp_choice	1.336268	23	n/a
191.225780	2	cue_ug-prop	n/a	23	n/a
191.225780	2	cue_ug-prop_parametric	n/a	23	4.166667e+00
203.300920	2.419511	dec_dg-prop_choice	2.419511	19	n/a
200.766890	2	cue_ug-resp	n/a	19	n/a
200.766890	2	cue_ug-resp_parametric	n/a	19	-1.166667e+00
211.340560	1.085594	dec_dg-prop_choice	1.085594	17	n/a
