condition	duration	onset
door	3	4.023829164914787
Fixation_ant	2	7.02509896364063
loss	3	9.041074242908508
door	3	18.085544242989272
Fixation_ant	2	21.101443286053836
win	3	23.118289422709495
door	3	30.17806990677491
Fixation_ant	2	33.19295683782548
loss	3	35.20974350674078
door	3	40.25349388970062
Fixation_ant	2	43.26668536895886
loss	3	45.283509343862534
door	3	54.32711919164285
Fixation_ant	2	57.343397771939635
loss	3	59.360191457904875
door	3	66.4038280597888
Fixation_ant	2	69.41866811690852
win	3	71.43530285684392
door	3	76.49569216370583
Fixation_ant	2	79.50907538598403
win	3	81.52606281498447
