Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,green,100,0,['j'],2.9841141999932006,wide
30,13,green,100,1,['j'],3.11729079997167,wide
40,13,green,100,1,['j'],2.9989592999918386,wide
50,13,green,100,1,['f'],2.096357799950056,wide
60,13,green,100,1,['f'],1.476507700048387,wide
70,13,green,100,1,['f'],0.9861538999830373,wide
80,13,green,100,0,['j'],2.371527799987234,wide
90,13,green,100,1,['f'],1.0359225000138395,wide
20,13,green,50,1,['j'],3.108060200000182,wide
30,13,green,50,1,['j'],1.8616156000061892,wide
40,13,green,50,0,['j'],3.8910542000085115,wide
50,13,green,50,1,['f'],1.4550222999532707,wide
60,13,green,50,0,['j'],1.4993000000249594,wide
70,13,green,50,0,['j'],1.1190317000146024,wide
80,13,green,50,1,['f'],1.0589451999985613,wide
90,13,green,50,1,['f'],1.113032800029032,wide
20,13,blue,100,0,['f'],3.2468741000047885,narrow
30,13,blue,100,1,['f'],2.3392153999884613,narrow
40,13,blue,100,1,['j'],3.1551032999996096,narrow
50,13,blue,100,1,['f'],1.6573384000221267,narrow
60,13,blue,100,1,['f'],1.2372680000262335,narrow
70,13,blue,100,0,['j'],1.4001510000089183,narrow
80,13,blue,100,0,['j'],1.908969199983403,narrow
90,13,blue,100,0,['j'],1.5942800000193529,narrow
20,13,blue,50,1,['j'],2.7095216999878176,narrow
30,13,blue,50,1,['j'],1.961326899996493,narrow
40,13,blue,50,1,['f'],3.3028733000392094,narrow
50,13,blue,50,0,['j'],1.1468693000497296,narrow
60,13,blue,50,0,['j'],0.7506520000169985,narrow
70,13,blue,50,0,['j'],0.7625081000151113,narrow
80,13,blue,50,0,['j'],0.9694596999906935,narrow
90,13,blue,50,0,['j'],1.2708811999764293,narrow
20,13,red,100,1,['j'],2.8811475000111386,skew
30,13,red,100,0,['j'],1.9509567999630235,skew
40,13,red,100,0,['f'],1.6978296000161208,skew
50,13,red,100,1,['j'],1.6929821000085212,skew
60,13,red,100,0,['j'],1.9495181000092998,skew
70,13,red,100,0,['j'],1.0373293000156991,skew
80,13,red,100,1,['f'],1.6296886000200175,skew
90,13,red,100,1,['f'],1.0139319999725558,skew
20,13,red,50,1,['j'],2.9474622999550775,skew
30,13,red,50,1,['j'],1.0265420000068843,skew
40,13,red,50,1,['j'],0.9643007999984547,skew
50,13,red,50,0,['j'],0.7041761999716982,skew
60,13,red,50,0,['j'],0.6437059000018053,skew
70,13,red,50,0,['j'],0.5108766999910586,skew
80,13,red,50,0,['j'],0.745891600032337,skew
90,13,red,50,0,['j'],0.6346289000357501,skew
20,13,yellow,100,1,['j'],2.797575400036294,True_unkown
30,13,yellow,100,1,['j'],1.526591699977871,True_unkown
40,13,yellow,100,0,['j'],1.5512198999640532,True_unkown
50,13,yellow,100,1,['f'],1.6397684999974445,True_unkown
60,13,yellow,100,0,['j'],2.2072417000308633,True_unkown
70,13,yellow,100,0,['j'],1.5156645000097342,True_unkown
80,13,yellow,100,1,['f'],1.0656451999675483,True_unkown
90,13,yellow,100,1,['f'],0.6983548999996856,True_unkown
20,13,yellow,50,0,['f'],2.167377599980682,True_unkown
30,13,yellow,50,1,['j'],1.4071917000110261,True_unkown
40,13,yellow,50,0,['f'],1.5111430999822915,True_unkown
50,13,yellow,50,0,['j'],1.115825000044424,True_unkown
60,13,yellow,50,1,['f'],1.5695050999638624,True_unkown
70,13,yellow,50,1,['f'],0.8695181999937631,True_unkown
80,13,yellow,50,0,['j'],1.338824399979785,True_unkown
90,13,yellow,50,1,['f'],0.8394923000014387,True_unkown
