TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,1,25,2,0.5,5,2,1.0,0.0,5.9884944,6.005393,6.0056143,6.522028,6.5222154,2.0,1.9162146,8.43843,8.955812,2.4341202,8.956497,10.959484,--
2,2,3,21,8,0.5,4,1,1.0,1.0,12.9548645,12.971219,12.971289,13.487553,13.487703,3.0,0.5998448,14.087548,14.604164,1.1168283,14.604666,22.606739,10.960965
3,3,3,23,4,0.5,1,4,1.0,2.0,24.603125,24.619947,24.620033,25.13587,25.13602,3.0,1.3838489,26.519869,27.036781,1.9011526,27.037352,31.040155,22.60947
4,4,3,21,6,3.5,9,1,1.0,3.0,33.035458,33.052017,33.05209,36.56941,36.569557,3.0,0.4824598,37.052017,37.56825,0.9990535,37.568745,43.57101,31.04152
5,5,3,25,2,0.5,8,2,1.0,4.0,45.567356,45.584023,45.58409,46.10073,46.100895,3.0,0.9830702,47.083965,47.600227,1.4997222,47.600754,49.603436,43.573254
6,6,1,15,2,3.5,1,3,1.0,5.0,51.599686,51.61631,51.616478,55.13298,55.13312,3.0,1.3665411,56.49966,57.016758,1.884042,57.017296,59.020176,--
7,7,2,25,4,0.5,11,2,1.0,6.0,61.0153,61.032154,61.03233,61.549118,61.54929,3.0,1.532661,63.08195,63.598507,2.0495896,63.599007,67.60263,--
8,8,2,17,4,0.5,5,1,1.0,7.0,69.598,69.614815,69.61499,70.13165,70.1318,3.0,1.1328635,71.26466,71.78074,1.649306,71.781235,75.7843,--
9,9,1,23,2,2,1,7,1.0,8.0,77.78022,77.79671,77.796906,79.813545,79.813705,3.0,1.8163615,81.63007,82.146324,2.332981,82.14687,84.15057,--
10,10,1,19,4,3.5,9,6,1.0,9.0,86.14592,86.162476,86.16263,89.67924,89.67939,2.0,2.083503,91.76289,92.278496,2.5994806,92.279,96.28232,--
11,11,2,19,4,3.5,9,4,1.0,10.0,98.27812,98.294655,98.29483,101.81169,101.811844,3.0,0.7832931,102.59514,103.111046,1.2995872,103.11162,107.11475,--
12,12,1,25,8,0.5,8,2,1.0,11.0,109.11015,109.12655,109.12677,109.64295,109.643105,2.0,1.7330709,111.376175,111.89233,2.2495842,111.89285,119.89602,--
13,13,1,21,2,0.5,1,9,1.0,12.0,121.89184,121.9086,121.908806,122.42579,122.425934,3.0,1.7827014,124.20863,124.72439,2.2988386,124.724915,126.72817,--
14,14,2,15,2,2,5,7,1.0,13.0,128.72427,128.741,128.74115,130.75804,130.75818,2.0,1.6158737,132.37405,132.89021,2.1324155,132.89073,134.89348,--
15,15,3,21,2,0.5,1,7,1.0,14.0,136.8899,136.90656,136.90663,137.42287,137.42302,3.0,1.133503,138.55652,139.07234,1.6496958,139.07285,141.07643,134.89497
16,16,3,25,2,0.5,11,8,1.0,15.0,143.07277,143.08965,143.0897,143.60666,143.6068,3.0,0.4828411,144.08965,144.60635,0.999975,144.60695,146.60983,141.07838
17,17,2,19,6,2,6,4,1.0,16.0,148.60544,148.62346,148.62364,150.6381,150.63828,3.0,1.4172553,152.05553,152.5732,1.9352853,152.57379,158.57715,--
18,18,1,23,4,2,4,10,1.0,17.0,160.57065,160.58867,160.58884,162.60472,162.60487,3.0,1.6668639,164.27174,164.78671,2.1822433,164.78725,168.79028,--
19,19,2,23,4,0.5,10,7,1.0,18.0,170.78581,170.80255,170.80275,171.31935,171.31949,3.0,2.1331656,173.45265,173.96945,2.650333,173.96996,177.9725,--
20,20,1,25,2,0.5,2,11,1.0,19.0,179.9682,179.98479,179.98497,180.50108,180.50122,3.0,3.43386,183.93507,184.45094,3.950097,184.45145,186.45465,--
