Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
30,8,green,100,1,No_resp,3,wide
40,8,green,100,0,No_resp,3,wide
50,8,green,100,0,No_resp,3,wide
60,8,green,100,0,No_resp,3,wide
70,8,green,100,0,No_resp,3,wide
80,8,green,100,1,No_resp,3,wide
90,8,green,100,1,No_resp,3,wide
30,8,green,50,0,No_resp,3,wide
40,8,green,50,0,No_resp,3,wide
50,8,green,50,0,No_resp,3,wide
60,8,green,50,1,No_resp,3,wide
70,8,green,50,0,No_resp,3,wide
80,8,green,50,1,No_resp,3,wide
90,8,green,50,1,No_resp,3,wide
30,8,red,100,0,No_resp,3,narrow
40,8,red,100,0,No_resp,3,narrow
50,8,red,100,0,No_resp,3,narrow
60,8,red,100,0,No_resp,3,narrow
70,8,red,100,1,No_resp,3,narrow
80,8,red,100,0,No_resp,3,narrow
90,8,red,100,0,No_resp,3,narrow
30,8,red,50,1,No_resp,3,narrow
40,8,red,50,1,No_resp,3,narrow
50,8,red,50,0,No_resp,3,narrow
60,8,red,50,1,No_resp,3,narrow
70,8,red,50,0,No_resp,3,narrow
80,8,red,50,0,No_resp,3,narrow
90,8,red,50,1,No_resp,3,narrow
30,8,blue,100,0,No_resp,3,skew
40,8,blue,100,0,No_resp,3,skew
50,8,blue,100,1,No_resp,3,skew
60,8,blue,100,0,No_resp,3,skew
70,8,blue,100,1,No_resp,3,skew
80,8,blue,100,0,No_resp,3,skew
90,8,blue,100,0,No_resp,3,skew
30,8,blue,50,1,No_resp,3,skew
40,8,blue,50,1,No_resp,3,skew
50,8,blue,50,1,No_resp,3,skew
60,8,blue,50,0,No_resp,3,skew
70,8,blue,50,0,No_resp,3,skew
80,8,blue,50,1,No_resp,3,skew
90,8,blue,50,1,No_resp,3,skew
30,8,yellow,100,1,No_resp,3,True_unkown
40,8,yellow,100,1,No_resp,3,True_unkown
50,8,yellow,100,1,No_resp,3,True_unkown
60,8,yellow,100,0,No_resp,3,True_unkown
70,8,yellow,100,1,No_resp,3,True_unkown
80,8,yellow,100,0,No_resp,3,True_unkown
90,8,yellow,100,0,No_resp,3,True_unkown
30,8,yellow,50,1,No_resp,3,True_unkown
40,8,yellow,50,0,No_resp,3,True_unkown
50,8,yellow,50,1,No_resp,3,True_unkown
60,8,yellow,50,1,No_resp,3,True_unkown
70,8,yellow,50,0,No_resp,3,True_unkown
80,8,yellow,50,0,No_resp,3,True_unkown
90,8,yellow,50,0,No_resp,3,True_unkown
