?TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,2,15,8,1.5,7,1,1,0,4.9902596,5.990426,6.0071387,6.007393,7.5237064,7.5238943,3,1.7359117,9.259807,11.042476,3.5190568,11.043097,19.047167
2,2,3,25,3,1.5,8,0,1,1,20.036234,21.035868,21.052696,21.052837,22.569616,22.56981,2,1.8358173,24.405628,26.087477,3.5180206,26.087952,29.09276
3,3,2,21,5,3,9,7,1,2,30.077942,31.077686,31.094276,31.094488,34.11137,34.111523,3,1.7036612,35.81518,37.629337,3.518159,37.6298,42.633324
4,4,1,15,1,3,5,3,1,3,43.622337,44.62225,44.638508,44.638702,47.655624,47.655773,2,1.5204352,49.17621,51.17244,3.517102,51.17301,52.177235
5,5,1,17,5,1.5,5,8,1,4,53.163296,54.163292,54.1797,54.17989,55.697296,55.69745,3,1.2683585,56.965805,59.214,3.5169058,59.214474,64.21824
6,6,3,23,3,1.5,0,1,1,5,65.20679,66.206764,66.22299,66.22312,67.7402,67.740395,2,1.4688724,69.20927,71.258194,3.5181613,71.258675,74.26304
7,7,2,25,1,1.5,11,2,1,6,75.24791,76.24786,76.264366,76.26457,77.78121,77.781364,3,1.4025733,79.18394,81.29818,3.5171728,81.29865,82.30314
8,8,2,17,5,1.5,1,3,1,7,83.288086,84.28764,84.30447,84.30469,85.82095,85.8211,2,1.7865678,87.607666,89.33813,3.5174086,89.33863,94.34319
9,9,3,25,3,1.5,8,0,1,8,95.33106,96.33112,96.347755,96.3479,97.865074,97.86527,2,1.602195,99.46747,101.38107,3.516147,101.38153,104.386055
10,10,1,19,3,1.5,4,1,1,9,105.372795,106.372765,106.389565,106.38976,107.90606,107.90621,2,0.90247893,108.808685,111.42302,3.51716,111.42349,114.42802
11,11,3,21,5,3,0,4,1,10,115.41429,116.41435,116.43089,116.43108,119.447975,119.44817,2,2.25433,121.7025,122.96501,3.517178,122.96546,127.96998
12,12,1,25,3,1.5,11,2,1,11,128.95898,129.95868,129.9751,129.97536,131.49191,131.49205,3,1.2526624,132.74472,135.00862,3.5169082,135.00908,138.0142
13,13,1,19,1,1.5,9,4,1,12,139.00047,140.00053,140.01749,140.01768,141.53389,141.53406,2,1.152009,142.68607,145.04993,3.5162432,145.05043,146.05489
14,14,1,15,1,1.5,1,7,1,13,147.04065,148.04039,148.05714,148.05734,149.57324,149.57341,3,0.9860426,150.55945,153.0896,3.5165339,153.09006,154.09483
15,15,3,17,3,4.5,0,1,1,14,155.08083,156.08022,156.09677,156.097,160.61348,160.6137,2,1.8719678,162.48566,164.13133,3.5179904,164.1318,167.13687
16,16,3,21,1,3,0,9,1,15,168.12416,169.12448,169.14096,169.14113,172.1577,172.15788,3,1.9203763,174.07826,175.67433,3.5168583,175.6749,176.6793
17,17,3,25,8,1.5,0,8,1,16,177.66551,178.66545,178.68207,178.6822,180.19972,180.19992,3,1.1344727,181.3344,183.71674,3.5172293,183.71727,191.72156
18,18,2,25,1,4.5,5,8,1,17,192.71146,193.71117,193.72784,193.72807,198.2447,198.24489,2,2.0553722,200.30026,201.76166,3.517121,201.76213,202.76654
19,19,1,17,1,4.5,1,3,1,18,203.75397,204.75357,204.77028,204.7705,209.28662,209.28676,3,1.1049426,210.39171,212.80461,3.5181873,212.80507,213.80855
20,20,2,23,1,4.5,1,10,1,19,214.7963,215.79617,215.81265,215.8129,220.32957,220.32973,2,0.97151595,221.30125,223.84555,3.5161865,223.84604,224.85002
21,21,3,21,1,4.5,0,1,1,20,225.83885,226.83818,226.8552,226.8554,231.37155,231.37175,2,2.1057801,233.47752,234.88852,3.517129,234.88899,235.89354
22,22,1,23,3,1.5,1,10,1,21,236.88127,237.88084,237.89732,237.89752,239.41454,239.41469,3,1.3186903,240.73338,242.9316,3.517254,242.93207,245.93547
23,23,3,17,1,1.5,0,3,1,22,246.92256,247.92232,247.93866,247.93881,249.45644,249.45673,3,1.2849301,250.74165,252.97385,3.5174809,252.97432,253.97876
24,24,1,25,8,3,8,2,1,23,254.97902,255.97893,255.99574,255.99596,259.01233,259.01248,2,1.4871305,260.49963,262.52942,3.5172827,262.52988,270.5334
25,25,1,15,1,3,3,1,1,24,271.52585,272.52585,272.5431,272.54327,275.55936,275.5595,2,1.2537379,276.81323,279.07632,3.5171704,279.07678,280.08127
26,26,3,19,1,1.5,1,0,1,25,281.0674,282.06717,282.08356,282.0837,283.6003,283.6005,3,1.0522873,284.65277,287.1173,3.5171676,287.11777,288.1223
27,27,2,17,1,4.5,5,3,1,26,289.1069,290.10703,290.1234,290.12363,294.64026,294.6404,3,1.2385021,295.8789,298.1573,3.5172312,298.15778,299.16226
28,28,2,25,1,1.5,5,11,1,27,300.14935,301.1493,301.16602,301.16623,302.68323,302.6834,2,2.335867,305.01926,306.20123,3.5181751,306.2017,307.2062
29,29,2,19,1,1.5,4,6,1,28,308.206,309.206,309.2227,309.22293,310.7392,310.73938,2,1.636038,312.3754,314.2562,3.5171864,314.25668,315.26193
30,30,3,21,5,3,0,9,1,29,316.26263,317.24606,317.2629,317.26306,320.27914,320.27936,3,1.3038436,321.5832,323.79645,3.5174646,323.79694,328.80115
31,31,2,21,3,1.5,1,7,1,30,329.7906,330.79056,330.80698,330.8072,332.32352,332.32367,2,1.069242,333.3929,335.8401,3.5167863,335.84058,338.84436
32,32,1,19,3,1.5,4,9,1,31,339.83212,340.83194,340.8486,340.84885,342.36456,342.36472,3,0.9865552,343.3513,345.882,3.5176077,345.88245,348.88605
33,33,2,23,3,3,4,10,1,32,349.87378,350.87357,350.89032,350.89053,353.9072,353.90732,2,1.1872122,355.09454,357.424,3.517018,357.42447,360.42804
34,34,1,21,1,1.5,9,4,1,33,361.41656,362.41623,362.43295,362.4332,363.94983,363.94998,3,0.91849476,364.8685,367.46698,3.5173597,367.46747,368.4719
35,35,2,19,1,3,1,6,1,34,369.473,370.45618,370.47293,370.47314,373.48892,373.4891,2,1.1707351,374.65985,377.00665,3.51792,377.00714,378.01184
36,36,3,21,1,3,0,1,1,35,378.99774,379.99805,380.01517,380.01538,383.03064,383.03085,2,1.5208503,384.5517,386.54803,3.5175498,386.54852,387.5529
