TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,3,3,1,7,1.0,0.0,5.0055766,6.0049243,6.0214963,6.021765,9.038929,9.039069,3.0,1.1997497,10.238818,12.555797,3.5173528,12.556547,15.557926
2,2,2,23,8,1.5,7,10,1.0,1.0,16.556173,17.554623,17.571177,17.571278,19.08792,19.088032,2.0,1.484082,20.572113,22.604012,3.5165331,22.604673,30.6069
3,3,1,15,1,4.5,1,5,1.0,2.0,31.605904,32.60473,32.62125,32.62148,37.139866,37.139988,3.0,1.0490192,38.189007,40.655895,3.5164335,40.65652,41.657887
4,4,3,23,1,4.5,7,0,1.0,3.0,42.655514,43.65447,43.671135,43.671204,48.187862,48.18801,2.0,1.4169267,49.60494,51.70593,3.5184958,51.70661,52.708897
5,5,3,19,3,1.5,6,0,1.0,4.0,53.70571,54.7049,54.72146,54.72168,56.23884,56.238976,2.0,1.3658708,57.604847,59.757782,3.5193367,59.758415,62.76048
6,6,2,19,3,1.5,1,4,1.0,5.0,63.756344,64.75492,64.77154,64.771805,66.28775,66.287865,2.0,0.667323,66.955185,69.803955,3.5166416,69.80461,72.805756
7,7,2,19,1,3,9,6,1.0,6.0,73.80603,74.80487,74.82147,74.821754,77.838905,77.83902,3.0,1.2331864,79.072205,81.35598,3.5174866,81.35661,82.35892
8,8,1,17,3,1.5,8,3,1.0,7.0,83.356155,84.354866,84.371445,84.371666,85.88893,85.88904,2.0,0.8326017,86.72164,89.40598,3.51747,89.40662,92.40889
9,9,2,15,1,3,3,1,1.0,8.0,93.40569,94.40485,94.421455,94.421646,97.43894,97.43906,3.0,1.2330246,98.67208,100.95575,3.5172565,100.95641,101.95837
10,10,2,19,3,3,4,9,1.0,9.0,102.95551,103.95481,103.971375,103.971596,106.98835,106.988464,2.0,0.883438,107.8719,110.504875,3.51694,110.50551,113.507416
11,11,1,23,1,4.5,10,7,1.0,10.0,114.50565,115.50461,115.52119,115.52131,120.03903,120.03914,3.0,1.8826865,121.92183,123.55648,3.5178876,123.55713,124.55891
12,12,3,21,1,1.5,9,0,1.0,11.0,125.55556,126.5548,126.571396,126.571526,128.0881,128.08824,2.0,1.0514545,129.1397,131.60489,3.517205,131.60555,132.607
13,13,2,21,1,3,1,4,1.0,12.0,133.60538,134.60469,134.62146,134.62166,137.63889,137.63899,2.0,0.7660808,138.40508,141.15591,3.51745,141.15656,142.1589
14,14,3,17,5,4.5,0,5,1.0,13.0,143.1561,144.15451,144.17154,144.17169,148.68813,148.68826,3.0,2.0002515,150.68852,152.20499,3.5172536,152.20563,157.2069
15,15,1,17,1,1.5,8,1,1.0,14.0,158.20587,159.20483,159.22148,159.22171,160.73894,160.73906,2.0,1.0491688,161.78822,164.25531,3.516823,164.25598,165.2579
16,16,2,17,1,1.5,5,3,1.0,15.0,166.25587,167.25456,167.27116,167.27135,168.78784,168.78795,3.0,0.9166901,169.70464,172.30685,3.5194647,172.30751,173.30959
17,17,2,19,1,4.5,9,4,1.0,16.0,174.30519,175.30482,175.32146,175.32166,179.83894,179.83905,3.0,1.2159907,181.05505,183.35686,3.5183623,183.35751,184.3599
18,18,1,17,3,1.5,3,8,1.0,17.0,185.35594,186.35481,186.37148,186.3717,187.88893,187.88905,3.0,1.8997312,189.78879,191.40591,3.5173945,191.40656,194.40807
19,19,3,23,1,1.5,1,0,1.0,18.0,195.4057,196.40477,196.42146,196.42166,197.93893,197.93907,3.0,1.1157186,199.0548,201.45694,3.5184135,201.4576,202.46005
20,20,1,23,1,1.5,10,1,1.0,19.0,203.45578,204.45439,204.4711,204.4712,205.98798,205.98808,2.0,0.9507047,206.9388,209.50404,3.5165062,209.5047,210.50592
21,21,2,19,5,3,4,1,1.0,20.0,211.50601,212.50435,212.52106,212.52118,215.53891,215.53902,3.0,1.5155721,217.0546,219.05693,3.5184681,219.05759,224.05963
22,22,3,19,5,1.5,1,0,1.0,21.0,225.0556,226.05434,226.07108,226.07114,227.58789,227.58804,3.0,1.0340462,228.62209,231.10353,3.5160549,231.1042,236.10635
23,23,3,17,1,1.5,0,3,1.0,22.0,237.10567,238.10454,238.12122,238.12135,239.63896,239.6391,2.0,2.0496368,241.68874,243.15593,3.5173652,243.15657,244.15756
24,24,1,25,3,3,2,5,1.0,23.0,245.15572,246.15437,246.1714,246.17163,249.1887,249.18883,3.0,1.2829674,250.47179,252.70692,3.5186222,252.70755,255.7099
25,25,3,25,1,1.5,5,0,1.0,24.0,256.70532,257.70438,257.72104,257.72116,259.23907,259.2392,2.0,1.0327756,260.27197,262.75592,3.5172958,262.7566,263.7586
26,26,1,17,8,3,1,8,1.0,25.0,264.7552,265.75433,265.77106,265.7712,268.788,268.7881,3.0,1.0833645,269.87146,272.30594,3.5183957,272.3066,280.30856
27,27,1,23,5,1.5,7,4,1.0,26.0,281.30542,282.30423,282.32098,282.3211,283.8379,283.838,2.0,1.1339155,284.97192,287.3558,3.5183256,287.35645,292.35892
28,28,3,21,3,1.5,0,4,1.0,27.0,293.3558,294.3543,294.371,294.37122,295.88895,295.88907,2.0,1.5493892,297.43848,299.40497,3.51643,299.4056,302.40692
29,29,3,19,1,1.5,0,1,1.0,28.0,303.40524,304.40424,304.42093,304.42105,305.938,305.93814,2.0,1.0166072,306.95474,309.45575,3.5181477,309.4564,310.45847
30,30,2,17,1,3,8,3,1.0,29.0,311.4553,312.45453,312.47134,312.47156,315.48895,315.48907,3.0,1.0659488,316.55502,319.00592,3.5173867,319.00656,320.0089
31,31,2,17,1,3,8,1,1.0,30.0,321.00583,322.0045,322.02133,322.02155,325.0381,325.0382,3.0,1.7002604,326.73846,328.55493,3.5172696,328.55557,329.55692
32,32,1,19,1,1.5,9,6,1.0,31.0,330.55566,331.5543,331.57126,331.57144,333.08743,333.08755,2.0,2.5170977,335.60464,336.60397,3.5169592,336.6046,337.6066
33,33,1,21,3,4.5,4,7,1.0,32.0,338.60587,339.60446,339.62125,339.6214,344.13898,344.1391,3.0,1.8495032,345.9886,347.65494,3.5163918,347.65558,350.6571
34,34,3,25,5,1.5,5,0,1.0,33.0,351.65582,352.6545,352.67105,352.6712,354.18896,354.1891,2.0,0.8330647,355.02216,357.7053,3.516752,357.70596,362.70776
35,35,2,15,3,1.5,1,5,1.0,34.0,363.70547,364.7044,364.72122,364.72137,366.23862,366.23874,2.0,0.7497646,366.9885,369.75507,3.5169048,369.75574,372.7569
36,36,3,15,8,1.5,5,0,1.0,35.0,373.7554,374.75455,374.77115,374.7713,376.28827,376.28842,2.0,1.7497426,378.03815,379.805,3.5170963,379.8056,387.8079
