Trial,A_ITI,B_ITI,A_feedback,B_feedback,A_faces_L,A_faces_R,A_doors_L,A_doors_R,B_faces_L,B_faces_R,B_doors_L,B_doors_R,practice_faces_L,practice_faces_R,practice_doors_L,practice_doors_R,practice_ITI,practice_feedback
1,5.3,5.3,win,loss,A_M25.jpg,A_M111.jpg,A_D_001.jpg,A_D_061.jpg,B_F118.jpg,B_F120.jpg,B_D_121.jpg,B_D_181.jpg,P_face1.bmp,P_face3.bmp,D_275.jpg,D_277.jpg,2,loss
2,1.1,5.3,loss,win,A_M39.jpg,A_M109.jpg,A_D_002.jpg,A_D_062.jpg,B_F114.jpg,B_F106.jpg,B_D_122.jpg,B_D_182.jpg,P_face2.bmp,P_face4.bmp,D_276.jpg,D_278.jpg,2,win
3,1.1,5.3,win,loss,A_M65.jpg,A_M95.jpg,A_D_003.jpg,A_D_063.jpg,B_M38.jpg,B_M112.jpg,B_D_123.jpg,B_D_183.jpg,,,,,,
4,3.2,1.1,win,loss,A_F13.jpg,A_F61.jpg,A_D_004.jpg,A_D_064.jpg,B_F42.jpg,B_F96.jpg,B_D_124.jpg,B_D_184.jpg,,,,,,
5,5.3,1.1,loss,loss,A_F39.jpg,A_F115.jpg,A_D_005.jpg,A_D_065.jpg,B_M114.jpg,B_M12.jpg,B_D_125.jpg,B_D_185.jpg,,,,,,
6,3.2,1.1,loss,win,A_M113.jpg,A_M33.jpg,A_D_006.jpg,A_D_066.jpg,B_M60.jpg,B_M78.jpg,B_D_126.jpg,B_D_186.jpg,,,,,,
7,3.2,3.2,win,win,A_M97.jpg,A_M101.jpg,A_D_007.jpg,A_D_067.jpg,B_F12.jpg,B_F20.jpg,B_D_127.jpg,B_D_187.jpg,,,,,,
8,1.1,3.2,loss,loss,A_F15.jpg,A_F07.jpg,A_D_008.jpg,A_D_068.jpg,B_F56.jpg,B_F92.jpg,B_D_128.jpg,B_D_188.jpg,,,,,,
9,1.1,1.1,win,win,A_F63.jpg,A_F47.jpg,A_D_009.jpg,A_D_069.jpg,B_M100.jpg,B_M26.jpg,B_D_129.jpg,B_D_189.jpg,,,,,,
10,1.1,3.2,win,win,A_F71.jpg,A_F45.jpg,A_D_010.jpg,A_D_070.jpg,B_M04.jpg,B_M98.jpg,B_D_130.jpg,B_D_190.jpg,,,,,,
11,3.2,5.3,loss,loss,A_F11.jpg,A_F05.jpg,A_D_011.jpg,A_D_071.jpg,B_M116.jpg,B_M70.jpg,B_D_131.jpg,B_D_191.jpg,,,,,,
12,1.1,5.3,loss,loss,A_M27.jpg,A_M13.jpg,A_D_012.jpg,A_D_072.jpg,B_F54.jpg,B_F44.jpg,B_D_132.jpg,B_D_192.jpg,,,,,,
13,5.3,5.3,win,win,A_M87.jpg,A_M29.jpg,A_D_013.jpg,A_D_073.jpg,B_M110.jpg,B_M20.jpg,B_D_133.jpg,B_D_193.jpg,,,,,,
14,1.1,3.2,win,win,A_M03.jpg,A_M35.jpg,A_D_014.jpg,A_D_074.jpg,B_F112.jpg,B_F08.jpg,B_D_134.jpg,B_D_194.jpg,,,,,,
15,5.3,1.1,win,win,A_F55.jpg,A_F73.jpg,A_D_015.jpg,A_D_075.jpg,B_M08.jpg,B_M68.jpg,B_D_135.jpg,B_D_195.jpg,,,,,,
16,3.2,1.1,win,win,A_M59.jpg,A_M77.jpg,A_D_016.jpg,A_D_076.jpg,B_F68.jpg,B_F38.jpg,B_D_136.jpg,B_D_196.jpg,,,,,,
17,3.2,1.1,win,loss,A_F87.jpg,A_F41.jpg,A_D_017.jpg,A_D_077.jpg,B_M66.jpg,B_M94.jpg,B_D_137.jpg,B_D_197.jpg,,,,,,
18,3.2,7.4,win,loss,A_M67.jpg,A_M117.jpg,A_D_018.jpg,A_D_078.jpg,B_F32.jpg,B_F06.jpg,B_D_138.jpg,B_D_198.jpg,,,,,,
19,11.6,3.2,win,loss,A_F31.jpg,A_F57.jpg,A_D_019.jpg,A_D_079.jpg,B_M72.jpg,B_M10.jpg,B_D_139.jpg,B_D_199.jpg,,,,,,
20,5.3,1.1,loss,win,A_M31.jpg,A_M71.jpg,A_D_020.jpg,A_D_080.jpg,B_F18.jpg,B_F60.jpg,B_D_140.jpg,B_D_200.jpg,,,,,,
21,5.3,5.3,win,loss,A_M19.jpg,A_M21.jpg,A_D_021.jpg,A_D_081.jpg,B_F48.jpg,B_F86.jpg,B_D_141.jpg,B_D_201.jpg,,,,,,
22,3.2,1.1,loss,loss,A_M83.jpg,A_M09.jpg,A_D_022.jpg,A_D_082.jpg,B_M84.jpg,B_M50.jpg,B_D_142.jpg,B_D_202.jpg,,,,,,
23,1.1,1.1,loss,win,A_M17.jpg,A_M91.jpg,A_D_023.jpg,A_D_083.jpg,B_F24.jpg,B_F98.jpg,B_D_143.jpg,B_D_203.jpg,,,,,,
24,1.1,5.3,loss,win,A_F89.jpg,A_F59.jpg,A_D_024.jpg,A_D_084.jpg,B_M34.jpg,B_M102.jpg,B_D_144.jpg,B_D_204.jpg,,,,,,
25,5.3,5.3,win,loss,A_F83.jpg,A_F35.jpg,A_D_025.jpg,A_D_085.jpg,B_M64.jpg,B_M80.jpg,B_D_145.jpg,B_D_205.jpg,,,,,,
26,5.3,3.2,loss,loss,A_M115.jpg,A_M63.jpg,A_D_026.jpg,A_D_086.jpg,B_M56.jpg,B_M62.jpg,B_D_146.jpg,B_D_206.jpg,,,,,,
27,3.2,1.1,win,loss,A_M81.jpg,A_M73.jpg,A_D_027.jpg,A_D_087.jpg,B_M120.jpg,B_M18.jpg,B_D_147.jpg,B_D_207.jpg,,,,,,
28,1.1,5.3,loss,loss,A_F105.jpg,A_F09.jpg,A_D_028.jpg,A_D_088.jpg,B_F76.jpg,B_F34.jpg,B_D_148.jpg,B_D_208.jpg,,,,,,
29,3.2,1.1,win,loss,A_F37.jpg,A_F117.jpg,A_D_029.jpg,A_D_089.jpg,B_M40.jpg,B_M22.jpg,B_D_149.jpg,B_D_209.jpg,,,,,,
30,1.1,1.1,loss,win,A_F77.jpg,A_F19.jpg,A_D_030.jpg,A_D_090.jpg,B_F90.jpg,B_F52.jpg,B_D_150.jpg,B_D_210.jpg,,,,,,
31,1.1,1.1,loss,loss,A_M105.jpg,A_M45.jpg,A_D_031.jpg,A_D_091.jpg,B_F116.jpg,B_F22.jpg,B_D_151.jpg,B_D_211.jpg,,,,,,
32,1.1,3.2,loss,win,A_M119.jpg,A_M01.jpg,A_D_032.jpg,A_D_092.jpg,B_M96.jpg,B_M32.jpg,B_D_152.jpg,B_D_212.jpg,,,,,,
33,5.3,1.1,win,win,A_M75.jpg,A_M53.jpg,A_D_033.jpg,A_D_093.jpg,B_F16.jpg,B_F58.jpg,B_D_153.jpg,B_D_213.jpg,,,,,,
34,1.1,3.2,loss,win,A_F97.jpg,A_F21.jpg,A_D_034.jpg,A_D_094.jpg,B_F102.jpg,B_F26.jpg,B_D_154.jpg,B_D_214.jpg,,,,,,
35,3.2,5.3,loss,win,A_F23.jpg,A_F65.jpg,A_D_035.jpg,A_D_095.jpg,B_M58.jpg,B_M46.jpg,B_D_155.jpg,B_D_215.jpg,,,,,,
36,5.3,5.3,win,win,A_F03.jpg,A_F93.jpg,A_D_036.jpg,A_D_096.jpg,B_F104.jpg,B_F82.jpg,B_D_156.jpg,B_D_216.jpg,,,,,,
37,5.3,1.1,loss,win,A_M55.jpg,A_M103.jpg,A_D_037.jpg,A_D_097.jpg,B_M88.jpg,B_M92.jpg,B_D_157.jpg,B_D_217.jpg,,,,,,
38,1.1,1.1,win,loss,A_F113.jpg,A_F49.jpg,A_D_038.jpg,A_D_098.jpg,B_F40.jpg,B_F84.jpg,B_D_158.jpg,B_D_218.jpg,,,,,,
39,1.1,3.2,loss,win,A_F99.jpg,A_F91.jpg,A_D_039.jpg,A_D_099.jpg,B_M86.jpg,B_M76.jpg,B_D_159.jpg,B_D_219.jpg,,,,,,
40,5.3,5.3,loss,loss,A_M11.jpg,A_M107.jpg,A_D_040.jpg,A_D_100.jpg,B_M14.jpg,B_M82.jpg,B_D_160.jpg,B_D_220.jpg,,,,,,
41,1.1,5.3,loss,win,A_M47.jpg,A_M93.jpg,A_D_041.jpg,A_D_101.jpg,B_F78.jpg,B_F74.jpg,B_D_161.jpg,B_D_221.jpg,,,,,,
42,3.2,11.6,loss,win,A_F01.jpg,A_F51.jpg,A_D_042.jpg,A_D_102.jpg,B_M06.jpg,B_M30.jpg,B_D_162.jpg,B_D_222.jpg,,,,,,
43,7.4,3.2,win,loss,A_F85.jpg,A_F69.jpg,A_D_043.jpg,A_D_103.jpg,B_F94.jpg,B_F02.jpg,B_D_163.jpg,B_D_223.jpg,,,,,,
44,1.1,3.2,loss,win,A_F17.jpg,A_F101.jpg,A_D_044.jpg,A_D_104.jpg,B_F70.jpg,B_F66.jpg,B_D_164.jpg,B_D_224.jpg,,,,,,
