Trial,A_ITI,B_ITI,A_feedback,B_feedback,A_face_L,A_face_R,A_image_L,A_image_R,B_face_L,B_face_R,B_image_L,B_image_R,practice_face_L,practice_face_R,practice_image_L,practice_image_R,practice_ITI,practice_feedback
20,5.3,1.1,loss,win,M31.jpg,M71.jpg,obj (20).bmp,obj (80).bmp,F18.jpg,F60.jpg,obj (147).bmp,obj (209).bmp,,,,,,
21,5.3,5.3,win,loss,M19.jpg,M21.jpg,obj (21).bmp,obj (81).bmp,F48.jpg,F86.jpg,obj (148).bmp,obj (210).bmp,,,,,,
22,3.2,1.1,loss,loss,M83.jpg,M09.jpg,obj (22).bmp,obj (82).bmp,M84.jpg,M50.jpg,obj (149).bmp,obj (211).bmp,,,,,,
23,1.1,1.1,loss,win,M17.jpg,M91.jpg,obj (23).bmp,obj (83).bmp,F24.jpg,F98.jpg,obj (151).bmp,obj (212).bmp,,,,,,
24,1.1,5.3,loss,win,F89.jpg,F59.jpg,obj (24).bmp,obj (84).bmp,M34.jpg,M102.jpg,obj (152).bmp,obj (213).bmp,,,,,,
25,5.3,5.3,win,loss,F83.jpg,F35.jpg,obj (25).bmp,obj (85).bmp,M64.jpg,M80.jpg,obj (153).bmp,obj (214).bmp,,,,,,
26,5.3,3.2,loss,loss,M115.jpg,M63.jpg,obj (26).bmp,obj (86).bmp,M56.jpg,M62.jpg,obj (154).bmp,obj (215).bmp,,,,,,
27,3.2,1.1,win,loss,M81.jpg,M73.jpg,obj (27).bmp,obj (87).bmp,M120.jpg,M18.jpg,obj (155).bmp,obj (216).bmp,,,,,,
28,1.1,5.3,loss,loss,F105.jpg,F09.jpg,obj (28).bmp,obj (88).bmp,F76.jpg,F34.jpg,obj (156).bmp,obj (217).bmp,,,,,,
29,3.2,1.1,win,loss,F37.jpg,F117.jpg,obj (29).bmp,obj (89).bmp,M40.jpg,M22.jpg,obj (157).bmp,obj (218).bmp,,,,,,
30,1.1,1.1,loss,win,F77.jpg,F19.jpg,obj (30).bmp,obj (90).bmp,F90.jpg,F52.jpg,obj (158).bmp,obj (219).bmp,,,,,,
31,1.1,1.1,loss,loss,M105.jpg,M45.jpg,obj (31).bmp,obj (91).bmp,F116.jpg,F22.jpg,obj (159).bmp,obj (220).bmp,,,,,,
32,1.1,3.2,loss,win,M119.jpg,M01.jpg,obj (32).bmp,obj (92).bmp,M96.jpg,M32.jpg,obj (160).bmp,obj (221).bmp,,,,,,
33,5.3,1.1,win,win,M75.jpg,M53.jpg,obj (33).bmp,obj (93).bmp,F16.jpg,F58.jpg,obj (161).bmp,obj (222).bmp,,,,,,
34,1.1,3.2,loss,win,F97.jpg,F21.jpg,obj (34).bmp,obj (94).bmp,F102.jpg,F26.jpg,obj (162).bmp,obj (223).bmp,,,,,,
35,3.2,5.3,loss,win,F23.jpg,F65.jpg,obj (35).bmp,obj (95).bmp,M58.jpg,M46.jpg,obj (163).bmp,obj (224).bmp,,,,,,
36,5.3,5.3,win,win,F03.jpg,F93.jpg,obj (36).bmp,obj (96).bmp,F104.jpg,F82.jpg,obj (164).bmp,obj (225).bmp,,,,,,
37,5.3,1.1,loss,win,M55.jpg,M103.jpg,obj (37).bmp,obj (97).bmp,M88.jpg,M92.jpg,obj (165).bmp,obj (226).bmp,,,,,,
38,1.1,1.1,win,loss,F113.jpg,F49.jpg,obj (38).bmp,obj (98).bmp,F40.jpg,F84.jpg,obj (166).bmp,obj (227).bmp,,,,,,
39,1.1,3.2,loss,win,F99.jpg,F91.jpg,obj (39).bmp,obj (99).bmp,M86.jpg,M76.jpg,obj (167).bmp,obj (228).bmp,,,,,,
40,5.3,5.3,loss,loss,M11.jpg,M107.jpg,obj (40).bmp,obj (100).bmp,M14.jpg,M82.jpg,obj (168).bmp,obj (229).bmp,,,,,,
41,1.1,5.3,loss,win,M47.jpg,M93.jpg,obj (41).bmp,obj (101).bmp,F78.jpg,F74.jpg,obj (169).bmp,obj (230).bmp,,,,,,
42,3.2,11.6,loss,win,F01.jpg,F51.jpg,obj (42).bmp,obj (102).bmp,M06.jpg,M30.jpg,obj (170).bmp,obj (231).bmp,,,,,,
43,7.4,3.2,win,loss,F85.jpg,F69.jpg,obj (43).bmp,obj (103).bmp,F94.jpg,F02.jpg,obj (171).bmp,obj (232).bmp,,,,,,
44,1.1,3.2,loss,win,F17.jpg,F101.jpg,obj (44).bmp,obj (104).bmp,F70.jpg,F66.jpg,obj (172).bmp,obj (233).bmp,,,,,,
45,1.1,3.2,win,loss,M41.jpg,M61.jpg,obj (45).bmp,obj (105).bmp,F64.jpg,F04.jpg,obj (173).bmp,obj (234).bmp,,,,,,
46,1.1,5.3,loss,loss,M37.jpg,M69.jpg,obj (46).bmp,obj (106).bmp,M24.jpg,M52.jpg,obj (174).bmp,obj (235).bmp,,,,,,
47,3.2,1.1,loss,loss,M85.jpg,M51.jpg,obj (47).bmp,obj (107).bmp,F62.jpg,F14.jpg,obj (175).bmp,obj (236).bmp,,,,,,
48,5.3,5.3,loss,loss,F75.jpg,F109.jpg,obj (48).bmp,obj (108).bmp,M16.jpg,M104.jpg,obj (176).bmp,obj (237).bmp,,,,,,
49,5.3,1.1,loss,win,F27.jpg,F103.jpg,obj (49).bmp,obj (109).bmp,M44.jpg,M80.jpg,obj (177).bmp,obj (238).bmp,,,,,,
50,5.3,3.2,loss,loss,M07.jpg,M49.jpg,obj (50).bmp,obj (110).bmp,F108.jpg,M62.jpg,obj (178).bmp,obj (239).bmp,,,,,,
51,3.2,1.1,win,loss,F79.jpg,F119.jpg,obj (51).bmp,obj (111).bmp,M48.jpg,M118.jpg,obj (179).bmp,obj (240).bmp,,,,,,
52,1.1,1.1,win,win,F67.jpg,F53.jpg,obj (52).bmp,obj (112).bmp,F80.jpg,F72.jpg,obj (180).bmp,obj (241).bmp,,,,,,
53,3.2,1.1,loss,win,F81.jpg,F95.jpg,obj (53).bmp,obj (113).bmp,M90.jpg,M74.jpg,obj (181).bmp,obj (242).bmp,,,,,,
54,3.2,3.2,win,win,M89.jpg,M05.jpg,obj (54).bmp,obj (114).bmp,M108.jpg,M42.jpg,obj (182).bmp,obj (243).bmp,,,,,,
55,1.1,3.2,win,win,F107.jpg,F29.jpg,obj (55).bmp,obj (115).bmp,M02.jpg,M28.jpg,obj (183).bmp,obj (244).bmp,,,,,,
56,1.1,5.3,win,loss,F33.jpg,F43.jpg,obj (56).bmp,obj (116).bmp,F100.jpg,F28.jpg,obj (184).bmp,obj (245).bmp,,,,,,
57,1.1,3.2,win,loss,F111.jpg,F25.jpg,obj (57).bmp,obj (117).bmp,F46.jpg,F36.jpg,obj (185).bmp,obj (246).bmp,,,,,,
58,5.3,1.1,win,loss,M15.jpg,M23.jpg,obj (58).bmp,obj (118).bmp,M54.jpg,M106.jpg,obj (186).bmp,obj (247).bmp,,,,,,
59,5.3,1.1,win,win,M99.jpg,M43.jpg,obj (59).bmp,obj (119).bmp,F50.jpg,F30.jpg,obj (187).bmp,obj (248).bmp,,,,,,
60,5.3,5.3,loss,win,M79.jpg,M57.jpg,obj (60).bmp,obj (120).bmp,F88.jpg,F110.jpg,obj (188).bmp,obj (249).bmp,,,,,,
