outcome	trial_starts	target_starts	RT	thresh	trial_type
1.0	4.01067426262307	6.02068168570986	0.2946316851011943	0.267008671618708	Small_loss
1.0	10.039746534574078	12.050560564821353	0.1990254905394977	0.4396343707004475	Neutral
1.0	20.868948974559316	24.880268039923976	0.2853451370028779	0.3634714368470605	Large_loss
1.0	30.497805829247227	33.50838439783547	0.28404104156652465	0.36733178080753726	Large_loss
0.0	38.975251468553324	42.98690440649807	0.35749602809664793	0.4660618724439031	Large_gain
1.0	55.808457360762986	58.81850493307866	0.3079385903838556	0.47567081846948717	Large_gain
1.0	63.03661278117215	65.04602400321164	0.26197737696929835	0.473176926002055	Large_gain
1.0	70.2654646247538	74.27501199195103	0.2679861778015038	0.33963351110040474	Large_loss
1.0	77.29174486460397	81.3015382590529	0.3255351243860787	0.41951248043835804	Neutral
0.0	88.117713329033	92.12707836437039	0.2748021895531565	0.3376187406888961	Small_loss
1.0	97.7486371146224	101.75848182765185	0.3265388552536024	0.34750139048185374	Small_gain
1.0	108.57535392456339	111.58556933878572	0.29029556780005805	0.2993694301936733	Small_loss
1.0	114.6019130959321	118.61126937692461	0.27883975353324786	0.2977532510293314	Small_loss
1.0	126.62748604512308	129.6367421039613	0.29532931579160504	0.37559725500282054	Large_gain
1.0	132.65163596055936	134.66071572501096	0.08915967651410028	0.37559725500282054	Large_gain
1.0	144.67713887500577	147.6863128241239	0.3077656166133238	0.34093989576570166	Small_gain
1.0	150.7022602207726	153.71123795183667	0.28870861648465507	0.3311181045746037	Large_loss
1.0	157.9271019709122	160.93617116977111	0.06381735902687069	0.33336439437385423	Small_loss
1.0	163.95144327441812	167.96137251214532	0.03848892771929968	0.3311181045746037	Large_loss
1.0	173.5771180758893	175.58627149758104	0.33978085762646515	0.40847217580369616	Neutral
0.0	180.80163742465083	183.81111626645725	0.44294808885024395	0.3507191453616689	Large_loss
1.0	191.62750053507625	195.6374798838806	0.33156294329091907	0.4149808431684822	Neutral
1.0	201.25271709190565	205.26245343218034	0.36264720506733283	0.38712283406843073	Large_gain
0.0	210.87861950631486	214.887825152211	0.3622949181590229	0.34790885924515025	Small_gain
1.0	218.10369309563248	220.11300681238936	0.38694503871374764	0.3764488361208076	Neutral
1.0	226.5290180855809	229.53875865209557	0.3824214576743543	0.35940411619701385	Large_gain
0.0	234.9544949181145	236.96360728495347	0.603544422716368	0.2983731801160541	Small_loss
0.0	243.3785387550306	245.38767134743102	0.30156150335096754	0.3127569199874976	Small_loss
1.0	257.8038323500805	260.81386935681803	0.2473748287302442	0.37278175696061466	Neutral
1.0	265.02870036325476	269.0381384520733	0.3249754501011921	0.34633492355514417	Small_gain
0.0	272.0530637035554	274.06193849560805	0.3652955451543676	0.36143547205068893	Large_gain
1.0	279.27825894807756	281.28783257830946	0.24521582627494354	0.35851941049664304	Large_gain
1.0	285.30348142162256	289.3132071963191	0.28696257759293076	0.35376996741929023	Large_loss
1.0	292.32924575889774	296.338438424209	0.35074371173686814	0.3614050290382781	Neutral
1.0	301.9543198312167	304.9636039643374	0.2896371807291871	0.3363898432119938	Small_gain
1.0	310.3793049110973	313.38846799277235	0.3247116122802254	0.3377577059787301	Small_gain
0.0	323.605515357689	325.6150165381696	0.3902683689520927	0.3389198901143904	Small_gain
1.0	330.83166573136987	332.8408182474377	0.28530619526281953	0.3537653909355592	Large_loss
1.0	338.056979310466	342.06619008821144	0.3230114582256647	0.3595326722719206	Large_loss
1.0	345.0814072517969	348.0905615791271	0.15976829364080913	0.3603092516782862	Large_gain
0.0	351.1055399604229	353.11513653305883	0.384965953140636	0.3712719297243325	Neutral
0.0	361.9320442511089	365.94215400944813	0.5821050334197935	0.3746100614828539	Neutral
1.0	368.95690357030253	371.96659402574005	0.28965287817118224	0.3349905112316078	Small_gain
1.0	379.7821396885556	382.7914950639097	0.2958292190451175	0.3620202523533485	Large_loss
0.0	395.4079569745227	397.4175568677747	0.3387104126304621	0.32400685229520454	Small_loss
1.0	402.63190849839884	405.64080291223945	0.27338428763323463	0.33282103918689465	Small_gain
1.0	418.2568415955757	420.2658652114769	0.3204660571354907	0.31885430051608304	Small_gain
0.0	427.8813215799746	429.8900617362524	0.37338154060125817	0.34788151690148733	Small_loss
1.0	435.10572742413206	439.11542874704173	0.13477524428162724	0.37228367134090956	Neutral
0.0	443.5308993639919	445.540227570702	0.4590744967572391	0.47425126606220386	Small_loss
1.0	460.9564241944754	464.9659646185755	0.29348909223335795	0.4749192339431046	Small_loss
1.0	468.1806652154628	471.18987720071163	0.28438910222030245	0.3616164306022945	Large_loss
1.0	476.6048983273504	479.6146449313528	0.2697874596051406	0.30291026103922364	Large_loss
1.0	485.0307863121998	489.04011482077476	0.27620620526431594	0.3575491320871544	Large_gain
1.0	493.4542285143543	495.46366630130797	0.3808677125052782	0.3990901641161414	Small_loss
1.0	505.47965716780163	507.4886481813155	0.012765645296894945	0.30291026103922364	Large_loss
1.0	512.7033086289885	514.7128653542604	0.3225293655414134	0.3705077190538901	Neutral
0.0	519.9282231307297	523.9377406124113	0.616809669387294	0.43789679440219437	Neutral
1.0	526.9529094761674	530.9623101326142	0.32009263907093555	0.36238936321282517	Large_gain
1.0	543.7779659794178	547.7876742454246	0.26985175875597633	0.3472252640514232	Large_gain
1.0	560.6038604847417	563.6128671956976	0.3966222117014695	0.5265938720195253	Neutral
0.0	567.8277039377426	571.8368978105427	0.31263423956988845	0.30843995800798263	Large_loss
1.0	575.0518806595792	579.060938689101	0.1904009519930696	0.3990901641161414	Small_loss
