TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,2,23,4,2,1,4,1.0,0.0,5.9892373,6.0059495,6.0061555,8.022605,8.022786,2.0,1.6329252,9.655711,10.171706,2.1494594,10.172406,14.175215,--
2,2,3,25,2,3.5,2,5,1.0,1.0,16.171625,16.18808,16.188147,19.705116,19.705278,3.0,2.2491255,21.954405,22.471292,2.766384,22.471798,24.474274,14.176842
3,3,1,19,2,3.5,9,6,1.0,2.0,26.470102,26.487171,26.4874,30.00406,30.004204,2.0,1.1992208,31.203424,31.720417,1.7165893,31.72093,33.724228,--
4,4,3,17,6,2,8,5,1.0,3.0,35.719227,35.735752,35.735817,37.75236,37.75251,3.0,0.9663006,38.71881,39.235264,1.4837525,39.23643,45.238815,33.725746
5,5,1,23,2,5,4,7,1.0,4.0,47.234512,47.25106,47.251263,52.268055,52.268208,2.0,1.7993677,54.067574,54.583694,2.315866,54.584217,56.587055,--
6,6,3,23,2,2,4,7,1.0,5.0,58.583744,58.600243,58.60031,60.61698,60.617134,3.0,11.531508,72.14864,72.66492,12.04826,72.665535,74.6688,56.588593
7,7,2,17,2,3.5,5,3,1.0,6.0,76.66448,76.68098,76.68119,80.19806,80.1982,3.0,3.6664245,83.864624,84.38004,4.1822124,84.380585,86.38413,--
8,8,1,15,8,3.5,3,7,1.0,7.0,88.37987,88.39639,88.39654,91.91329,91.913445,3.0,2.4999719,94.41342,94.92854,3.0155182,94.92909,102.93267,--
9,9,2,17,2,2,3,1,1.0,8.0,104.92781,104.94458,104.944786,106.96163,106.96178,3.0,2.082446,109.04422,109.560524,2.5991223,109.56103,111.5641,--
10,10,2,21,2,2,1,7,1.0,9.0,113.56033,113.57674,113.57691,115.59334,115.59348,2.0,1.3832684,116.97675,117.4933,1.9002805,117.49394,119.49711,--
11,11,1,21,4,2,1,9,1.0,10.0,121.49265,121.50923,121.50942,123.52616,123.526306,3.0,1.7998774,125.32618,125.8415,2.315569,125.84202,129.84483,--
12,12,2,25,8,2,5,8,1.0,11.0,131.84169,131.85802,131.85817,133.8753,133.87546,3.0,0.0106775,133.88614,134.39038,0.5153002,134.39088,142.39458,--
13,13,2,21,2,3.5,7,9,1.0,12.0,144.3903,144.40617,144.40634,147.92308,147.92323,2.0,11.998426,159.92166,160.4373,12.514445,160.4378,162.44058,--
14,14,3,25,4,2,8,5,1.0,13.0,164.43796,164.45457,164.45467,166.47156,166.47171,2.0,0.9323703,167.40407,167.92105,1.4497997,167.92165,171.92537,162.4436
15,15,1,25,2,3.5,8,5,1.0,14.0,173.9198,173.93663,173.93683,177.45361,177.45375,2.0,1.949289,179.40305,179.9194,2.4660194,179.9199,181.92258,--
16,16,2,15,4,5,1,7,1.0,15.0,183.91917,183.93547,183.93565,188.95229,188.95244,2.0,2.5490236,191.50146,192.01813,3.066094,192.01868,196.022,--
17,17,1,19,2,3.5,1,4,1.0,16.0,198.0173,198.03383,198.03404,201.55142,201.55156,3.0,1.5984404,203.15001,203.66628,2.1150978,203.66684,205.67026,--
