TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,8,0.5,6.75,2.85,1.0,0.0,5.0151687,5.99552,6.01316,6.0134826,6.529996,6.530217,3.0,1.2829981,7.8132153,8.328445,1.798799,8.329307,16.347338
2,2,3,23,8,0.5,3.45,0,1.0,1.0,16.34915,18.346645,18.364431,18.3646,18.881598,18.881779,3.0,0.6323676,19.514147,20.046892,1.1655463,20.047583,28.062796
3,3,1,21,4,2,9.45,3.99,1.0,2.0,29.050844,30.063238,30.080488,30.08075,32.09784,32.098015,3.0,0.8689904,32.967003,33.48432,1.3867633,33.48503,37.49616
4,4,2,17,2,0.5,3.23,1.02,1.0,3.0,38.49497,39.496124,39.512573,39.5129,40.031113,40.031292,3.0,0.5562249,40.587517,41.10189,1.0710223,41.102566,43.111977
5,5,2,17,2,0.5,5.95,0,1.0,4.0,44.097523,45.095993,45.113003,45.113327,45.63131,45.631485,3.0,0.5906423,46.22213,46.734364,1.1032931,46.735027,48.745934
6,6,3,23,2,0.5,10.35,7.36,1.0,5.0,48.747753,50.7344,50.752007,50.75216,51.271122,51.2713,3.0,0.93246615,52.203766,52.719955,1.4490802,52.720634,54.72988
7,,,,26,4.5,,,1.0,6.0,55.72254,56.72067,56.73733,56.737644,61.255173,61.255352,3.0,0.014785981,61.270138,61.78887,0.53397036,61.789574,87.79457
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,8,0.5,6.75,2.85,1.0,0.0,5.011491,6.007929,6.0257735,6.0261545,6.5433393,6.543562,3.0,0.64896226,7.1925244,7.7104197,1.1674176,7.711264,15.72645
2,2,3,23,8,0.5,3.45,0,1.0,1.0,15.728271,17.711485,17.728054,17.7282,18.244736,18.244911,3.0,0.35284653,18.597757,19.11215,0.86765325,19.11282,27.128056
3,3,1,21,4,2,9.45,3.99,1.0,2.0,28.113497,29.11113,29.144487,29.14481,31.163824,31.163996,3.0,0.030434486,31.19443,31.714928,0.55137795,31.715628,35.729893
4,4,2,17,2,0.5,3.23,1.02,1.0,3.0,36.731945,37.714523,37.730953,37.731277,38.247295,38.24747,3.0,0.63394564,38.881416,39.397396,1.1503615,39.398087,41.412144
5,5,2,17,2,0.5,5.95,0,1.0,4.0,42.400234,43.39854,43.41463,43.41494,43.93178,43.93196,3.0,0.45135424,44.383316,44.899456,0.96793,44.900146,46.911232
6,6,3,23,2,0.5,10.35,7.36,1.0,5.0,46.913036,48.894955,48.912086,48.91223,49.428516,49.42869,3.0,0.44763637,49.876328,50.394344,0.96605855,50.395004,52.412075
