TrialNumber,nTrial,Block,Partner,Endowment,ITI,ISI,L_Option,R_Option,ran,order,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,2,1,25,10,0.75,3.75,6.25,1.0,0.0,4.0673995,999.0,999.0,999.0,7.0784817,3.5350149,7.602945,17.617643
2,2,2,2,17,0.75,0.75,5.95,7.65,1.0,1.0,17.62605,--,--,--,--,--,--,--
3,3,2,2,15,8,0.75,2.25,6.75,0.0,--,--,--,--,--,--,--,--,--
4,4,3,1,15,0.75,0.75,0.05,0,0.0,--,--,--,--,--,--,--,--,--
5,5,1,2,23,0.75,0.75,5.75,10.35,0.0,--,--,--,--,--,--,--,--,--
6,6,1,2,23,0.75,0.75,5.75,8.05,0.0,--,--,--,--,--,--,--,--,--
7,7,2,1,21,0.75,0.75,3.15,5.25,0.0,--,--,--,--,--,--,--,--,--
8,8,1,2,19,0.75,12,0.95,2.85,0.0,--,--,--,--,--,--,--,--,--
9,9,2,2,21,0.75,0.75,7.35,9.45,0.0,--,--,--,--,--,--,--,--,--
10,10,2,1,15,0.75,8,5.25,6.75,0.0,--,--,--,--,--,--,--,--,--
11,11,3,1,25,0.75,0.75,0.35,0,0.0,--,--,--,--,--,--,--,--,--
12,12,3,2,15,0.75,0.75,0.5,0,0.0,--,--,--,--,--,--,--,--,--
13,13,3,1,25,0.75,0.75,0.15,0,0.0,--,--,--,--,--,--,--,--,--
14,14,1,2,19,0.75,0.75,2.85,8.55,0.0,--,--,--,--,--,--,--,--,--
15,15,1,1,15,0.75,0.75,0.75,5.25,0.0,--,--,--,--,--,--,--,--,--
16,16,1,2,17,0.75,0.75,5.95,7.65,0.0,--,--,--,--,--,--,--,--,--
17,17,1,1,25,10,0.75,6.25,11.25,0.0,--,--,--,--,--,--,--,--,--
18,18,1,1,23,0.75,0.75,1.15,3.45,0.0,--,--,--,--,--,--,--,--,--
19,19,1,2,17,0.75,8,0.85,4.25,0.0,--,--,--,--,--,--,--,--,--
20,20,1,1,17,0.75,0.75,2.55,5.95,0.0,--,--,--,--,--,--,--,--,--
21,21,1,1,25,0.75,0.75,8.75,11.25,0.0,--,--,--,--,--,--,--,--,--
22,22,1,2,23,0.75,0.75,3.45,8.05,0.0,--,--,--,--,--,--,--,--,--
23,23,2,1,23,0.75,8,1.15,5.75,0.0,--,--,--,--,--,--,--,--,--
24,24,2,1,17,0.75,0.75,2.55,5.95,0.0,--,--,--,--,--,--,--,--,--
25,25,2,2,17,0.75,10,4.25,5.95,0.0,--,--,--,--,--,--,--,--,--
26,26,2,1,21,0.75,0.75,5.25,9.45,0.0,--,--,--,--,--,--,--,--,--
27,27,3,2,15,0.75,0.75,0.3,0,0.0,--,--,--,--,--,--,--,--,--
28,28,3,2,21,0.75,0.75,0.3,0,0.0,--,--,--,--,--,--,--,--,--
29,29,2,2,23,0.75,0.75,1.15,8.05,0.0,--,--,--,--,--,--,--,--,--
30,30,3,1,15,0.75,12,0.15,0,0.0,--,--,--,--,--,--,--,--,--
31,31,3,1,19,0.75,0.75,0.25,0,0.0,--,--,--,--,--,--,--,--,--
32,32,1,1,23,0.75,0.75,3.45,8.05,0.0,--,--,--,--,--,--,--,--,--
33,33,2,1,25,0.75,0.75,3.75,6.25,0.0,--,--,--,--,--,--,--,--,--
34,34,3,2,15,12,0.75,0.1,0,0.0,--,--,--,--,--,--,--,--,--
35,35,1,2,23,0.75,0.75,5.75,10.35,0.0,--,--,--,--,--,--,--,--,--
36,36,2,2,21,8,0.75,3.15,7.35,0.0,--,--,--,--,--,--,--,--,--
37,37,1,1,17,8,0.75,2.55,7.65,0.0,--,--,--,--,--,--,--,--,--
38,38,1,2,23,0.75,0.75,1.15,3.45,0.0,--,--,--,--,--,--,--,--,--
39,39,1,1,17,0.75,0.75,0.85,2.55,0.0,--,--,--,--,--,--,--,--,--
40,40,2,2,21,8,0.75,1.05,7.35,0.0,--,--,--,--,--,--,--,--,--
41,41,3,2,17,0.75,0.75,0.7,0,0.0,--,--,--,--,--,--,--,--,--
42,42,3,2,19,0.75,0.75,0.9,0,0.0,--,--,--,--,--,--,--,--,--
43,43,2,1,23,0.75,0.75,5.75,8.05,0.0,--,--,--,--,--,--,--,--,--
44,44,3,2,21,0.75,0.75,0.9,0,0.0,--,--,--,--,--,--,--,--,--
45,45,2,1,17,0.75,0.75,2.55,7.65,0.0,--,--,--,--,--,--,--,--,--
46,46,1,1,21,0.75,0.75,5.25,9.45,0.0,--,--,--,--,--,--,--,--,--
47,47,1,1,17,0.75,0.75,0.85,5.95,0.0,--,--,--,--,--,--,--,--,--
48,48,2,2,15,8,0.75,0.75,6.75,0.0,--,--,--,--,--,--,--,--,--
49,49,2,2,21,0.75,0.75,5.25,7.35,0.0,--,--,--,--,--,--,--,--,--
50,50,3,2,25,0.75,0.75,0.1,0,0.0,--,--,--,--,--,--,--,--,--
