nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,21,2,0.5,7,1
2,1,23,4,0.5,7,1
3,2,17,2,0.5,1,5
4,2,19,2,0.5,1,4
5,1,25,4,3.5,5,8
6,3,19,2,0.5,1,0
7,1,21,2,2,1,7
8,3,19,6,3.5,5,0
9,2,19,2,0.5,9,4
10,1,17,8,0.5,1,8
11,2,25,4,0.5,8,11
12,2,17,2,0.5,3,1
13,2,17,4,0.5,3,8
14,1,23,4,0.5,4,7
15,3,25,2,2,0,1
16,3,17,6,0.5,0,6
17,3,17,2,3.5,0,8
18,2,15,2,2,5,3
19,2,19,2,2,1,4
20,2,19,2,2,9,4
21,2,17,4,0.5,3,8
22,3,17,6,3.5,0,3
23,3,23,8,2,1,0
24,1,17,2,2,8,5
25,3,17,4,3.5,0,4
26,1,21,2,0.5,1,9
27,3,21,6,0.5,0,3
28,2,15,2,0.5,7,1
29,2,23,2,0.5,4,1
30,1,21,4,2,9,1
31,1,23,6,2,7,10
32,1,19,2,0.5,9,6
33,1,15,4,0.5,5,3
34,3,15,2,2,0,5
35,3,25,8,0.5,0,11
36,3,19,4,3.5,0,3
