nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,25,2,0.5,2,5
2,1,23,8,0.5,10,1
3,3,19,2,2,3,0
4,3,17,4,3.5,1,0
5,3,25,4,3.5,0,9
6,2,17,2,3.5,8,1
7,1,19,2,2,6,9
8,1,21,2,0.5,4,1
9,1,15,4,3.5,3,7
10,2,21,6,0.5,1,9
11,3,19,2,0.5,3,0
12,2,17,8,2,5,3
13,2,25,2,3.5,8,5
14,2,23,2,3.5,4,7
15,1,23,4,2,7,1
16,1,17,4,2,5,8
17,1,21,4,2,7,1
18,2,17,6,0.5,1,3
19,3,23,4,2,0,10
20,2,17,4,2,8,3
21,1,19,4,0.5,1,6
22,3,23,2,0.5,0,6
23,2,25,2,0.5,5,2
24,3,17,2,0.5,0,1
25,3,19,2,0.5,0,7
26,2,17,2,0.5,8,5
27,2,15,2,2,7,3
28,3,15,6,0.5,0,4
29,3,17,2,0.5,0,1
30,3,19,2,0.5,9,0
31,1,19,6,0.5,1,9
32,2,21,6,0.5,9,7
33,3,25,4,0.5,4,0
34,1,23,2,0.5,4,7
35,2,19,8,0.5,4,9
36,1,19,2,2,1,6
