nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,17,2,0.5,1,0
2,3,19,6,0.5,3,0
3,1,19,2,0.5,6,9
4,2,15,8,0.5,1,5
5,3,23,4,2,3,0
6,1,23,2,0.5,1,7
7,2,23,2,0.5,10,4
8,1,21,4,2,1,9
9,1,15,4,3.5,3,5
10,2,23,6,0.5,4,10
11,3,15,8,0.5,1,0
12,2,15,4,0.5,7,5
13,1,15,2,0.5,7,5
14,1,19,2,2,6,4
15,2,25,8,2,5,2
16,2,23,4,3.5,1,4
17,2,21,6,2,7,1
18,2,15,2,0.5,3,5
19,2,17,2,0.5,1,8
20,1,15,2,0.5,7,1
21,3,23,2,3.5,6,0
22,1,23,4,0.5,10,1
23,3,17,6,2,6,0
24,2,21,2,2,1,4
25,1,25,2,0.5,11,5
26,2,15,2,2,5,1
27,3,15,4,0.5,2,0
28,3,21,4,3.5,1,0
29,3,23,2,2,10,0
30,3,15,6,0.5,5,0
31,3,21,4,0.5,9,0
32,3,25,2,3.5,6,0
33,1,19,2,0.5,6,9
34,1,17,2,3.5,3,8
35,2,15,2,0.5,3,1
36,1,15,4,2,5,3
