nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,19,4,0.5,9,6
2,2,15,6,0.5,7,3
3,2,23,4,0.5,1,4
4,1,21,2,0.5,4,7
5,3,15,6,2,2,0
6,3,23,8,0.5,10,0
7,3,23,2,0.5,3,0
8,2,15,8,0.5,1,3
9,2,17,4,0.5,3,1
10,1,15,4,3.5,5,3
11,2,19,2,0.5,9,1
12,2,17,2,0.5,1,8
13,1,25,4,2,11,5
14,1,17,2,3.5,1,5
15,3,21,6,3.5,9,0
16,1,23,4,0.5,1,7
17,2,25,4,0.5,5,11
18,2,25,2,2,8,2
19,3,19,6,3.5,7,0
20,1,17,4,0.5,5,1
21,1,23,2,0.5,1,10
22,3,15,2,2,4,0
23,3,25,2,3.5,4,0
24,1,25,4,0.5,8,5
25,3,25,2,2,1,0
26,1,25,2,0.5,8,11
27,2,15,4,0.5,7,5
28,2,17,2,2,5,8
29,1,21,2,3.5,4,7
30,2,23,2,2,4,10
31,1,21,8,0.5,4,1
32,1,17,2,0.5,8,1
33,3,19,6,0.5,1,0
34,3,19,2,2,5,0
35,3,23,2,2,8,0
36,3,21,2,2,1,0
