nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,25,2,2,8,11
2,3,19,2,2,1,0
3,1,23,4,2,1,4
4,2,25,2,0.5,5,8
5,3,15,2,0.5,0,7
6,3,23,4,0.5,8,0
7,1,23,6,0.5,4,1
8,3,23,2,3.5,3,0
9,2,23,4,0.5,7,1
10,2,21,2,0.5,7,4
11,1,21,2,3.5,1,4
12,2,19,8,0.5,9,1
13,2,25,4,2,11,2
14,1,17,2,3.5,3,1
15,1,15,2,0.5,3,7
16,2,19,6,3.5,4,9
17,3,23,2,0.5,10,0
18,2,19,4,0.5,6,1
19,3,21,4,0.5,0,3
20,3,23,6,0.5,6,0
21,2,23,2,0.5,1,7
22,3,23,6,0.5,6,0
23,1,19,2,2,9,6
24,3,23,4,3.5,1,0
25,3,21,4,0.5,0,3
26,1,21,2,2,9,7
27,1,17,8,0.5,1,8
28,1,15,2,0.5,3,5
29,2,15,2,2,7,3
30,3,19,2,2,1,0
31,3,17,2,2,6,0
32,1,21,2,0.5,9,4
33,1,15,4,2,1,7
34,2,21,6,0.5,7,9
35,1,19,8,3.5,6,4
36,2,17,4,0.5,1,5
