nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,23,2,0.5,7,4
2,1,25,2,0.5,11,2
3,2,21,2,2,9,7
4,3,25,2,0.5,4,0
5,2,25,2,3.5,5,2
6,1,15,2,0.5,5,1
7,3,15,6,2,1,0
8,1,25,4,2,11,5
9,1,19,2,3.5,1,4
10,1,15,6,0.5,3,5
11,2,15,2,3.5,3,7
12,3,25,4,2,11,0
13,3,19,2,3.5,1,0
14,1,25,4,0.5,11,5
15,1,15,2,0.5,5,7
16,2,25,4,0.5,5,11
17,3,15,8,0.5,1,0
18,2,19,8,2,1,4
19,2,17,2,2,3,5
20,1,15,2,2,1,5
21,3,15,2,0.5,4,0
22,2,19,6,2,6,9
23,2,25,4,3.5,8,5
24,1,23,4,0.5,1,10
25,3,15,6,0.5,7,0
26,2,25,4,0.5,8,2
27,3,19,6,0.5,3,0
28,2,21,4,2,1,7
29,3,21,4,0.5,7,0
30,3,19,2,0.5,3,0
31,3,23,2,3.5,6,0
32,2,23,2,0.5,1,10
33,1,21,2,0.5,9,7
34,3,17,8,0.5,6,0
35,1,19,4,0.5,9,1
36,1,15,2,2,3,1
