nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,21,2,0.5,4,1
2,3,25,2,2,9,0
3,2,17,2,0.5,1,3
4,2,17,6,0.5,8,1
5,1,17,4,0.5,5,3
6,3,25,2,0.5,4,0
7,2,17,4,2,3,5
8,3,17,8,3.5,8,0
9,2,23,6,0.5,1,7
10,3,25,4,0.5,11,0
11,2,17,2,2,8,3
12,2,17,6,0.5,8,5
13,1,19,2,2,6,9
14,1,17,6,0.5,3,8
15,1,19,4,2,4,9
16,1,23,2,0.5,1,10
17,1,21,6,0.5,9,7
18,1,23,2,3.5,10,1
19,3,19,2,2,1,0
20,1,21,2,0.5,7,9
21,2,23,2,0.5,7,1
22,1,25,2,0.5,2,11
23,3,23,8,2,1,0
24,2,25,2,3.5,2,5
25,3,21,4,2,3,0
26,1,17,4,0.5,3,5
27,3,19,2,3.5,5,0
28,3,19,4,0.5,3,0
29,2,19,2,2,4,1
30,1,21,2,0.5,7,4
31,2,21,4,0.5,9,4
32,3,23,4,0.5,6,0
33,2,25,2,2,2,8
34,2,21,2,3.5,7,1
35,3,19,4,3.5,1,0
36,3,25,8,0.5,9,0
