nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,19,6,0.5,4,6
2,2,23,4,0.5,7,4
3,2,21,6,3.5,7,9
4,1,21,4,2,1,4
5,3,23,4,3.5,0,3
6,3,15,4,0.5,7,0
7,2,19,2,0.5,4,6
8,2,21,4,0.5,9,4
9,1,21,8,3.5,7,4
10,1,23,4,0.5,1,10
11,1,25,2,3.5,2,8
12,2,21,4,2,4,1
13,2,21,2,0.5,7,9
14,3,17,2,0.5,6,0
15,3,17,2,0.5,1,0
16,3,17,6,0.5,0,3
17,1,25,2,2,8,2
18,1,25,6,0.5,11,2
19,3,21,8,2,0,7
20,3,25,2,0.5,0,11
21,3,21,2,2,0,3
22,3,15,2,0.5,0,1
23,3,23,2,2,6,0
24,1,17,2,0.5,1,5
25,1,17,8,0.5,3,8
26,1,17,2,0.5,8,5
27,1,19,4,2,9,4
28,2,21,2,0.5,4,9
29,2,25,4,0.5,2,5
30,3,23,2,0.5,0,1
31,1,15,6,0.5,5,1
32,2,15,2,2,3,1
33,2,25,2,3.5,11,8
34,2,17,2,3.5,1,8
35,2,15,4,2,7,1
36,3,15,2,2,0,4
