nTrial,Block,Partner,Endowment,ITI,ISI,L_Option,R_Option
1,1,2,15,6,2,0.75,5.25
2,1,2,19,2,0.5,6.65,8.55
3,1,1,23,2,2,3.45,10.35
4,3,1,15,6,0.5,0.25,0
5,2,2,25,4,0.5,1.25,11.25
6,1,1,19,2,0.5,0.95,4.75
7,1,1,23,8,3.5,1.15,3.45
8,1,2,17,2,2,4.25,5.95
9,2,2,19,2,2,4.75,6.65
10,1,1,25,2,2,3.75,6.25
11,3,1,15,2,0.5,0.15,0
12,3,2,21,6,3.5,0.1,0
13,1,1,25,8,3.5,1.25,6.25
14,2,2,19,2,0.5,4.75,8.55
15,3,1,15,2,0.5,0.45,0
16,2,2,25,2,0.5,3.75,11.25
17,3,1,25,2,2,0.25,0
18,2,2,21,6,2,3.15,5.25
19,1,1,21,2,2,3.15,7.35
20,3,1,23,2,0.5,0.05,0
21,2,1,17,4,3.5,4.25,5.95
22,3,1,17,4,0.5,0.15,0
23,2,1,15,2,0.5,5.25,6.75
24,3,2,15,2,0.5,0.9,0
25,3,2,17,2,3.5,0.7,0
26,1,2,15,4,0.5,3.75,6.75
27,3,2,19,2,0.5,0.5,0
28,3,2,23,6,0.5,0.1,0
29,2,1,15,2,0.5,2.25,5.25
30,3,2,23,6,3.5,0.3,0
31,3,1,19,2,2,0.25,0
32,1,1,17,2,2,0.85,7.65
33,3,2,21,4,0.5,0.7,0
34,2,1,25,4,0.5,6.25,8.75
35,1,1,17,2,3.5,2.55,7.65
36,3,1,17,2,2,0.35,0
37,1,2,19,4,2,0.95,4.75
38,3,1,25,2,0.5,0.05,0
39,3,2,23,4,0.5,0.7,0
40,3,2,25,2,2,0.5,0
41,2,2,21,2,0.5,1.05,3.15
42,2,2,19,4,0.5,0.95,4.75
43,2,1,15,6,3.5,0.75,6.75
44,2,1,21,4,0.5,3.15,5.25
45,3,2,25,6,2,0.3,0
46,1,2,23,4,0.5,5.75,8.05
47,1,2,23,4,0.5,3.45,5.75
48,2,2,15,6,3.5,3.75,6.75
49,2,2,15,4,0.5,0.75,5.25
50,3,1,15,4,0.5,0.45,0
51,1,1,21,2,2,3.15,7.35
52,1,1,17,2,2,0.85,5.95
53,3,1,19,8,2,0.45,0
54,1,2,17,2,3.5,5.95,7.65
55,2,1,25,2,2,1.25,8.75
56,1,1,19,4,0.5,2.85,6.65
57,2,1,23,2,2,1.15,8.05
58,1,2,17,8,0.5,2.55,5.95
59,1,2,15,2,0.5,2.25,6.75
60,2,2,19,4,0.5,0.95,2.85
61,2,1,19,6,0.5,0.95,2.85
62,2,2,15,2,0.5,5.25,6.75
63,3,1,19,2,0.5,0.05,0
64,1,1,19,8,0.5,4.75,8.55
65,1,2,17,2,0.5,2.55,4.25
66,3,2,17,4,3.5,0.7,0
67,2,1,17,4,0.5,0.85,7.65
68,2,2,19,2,0.5,0.95,8.55
69,1,1,19,4,3.5,2.85,8.55
70,2,1,21,2,0.5,7.35,9.45
71,3,2,21,4,2,0.3,0
72,2,2,23,8,0.5,5.75,10.35
