nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,25,6,3.5,4,0
2,1,19,6,3.5,6,1
3,2,19,2,0.5,4,1
4,2,21,2,2,1,7
5,3,23,2,0.5,8,0
6,3,21,2,0.5,3,0
7,3,15,4,3.5,1,0
8,2,17,2,0.5,3,8
9,1,21,4,2,4,1
10,3,21,4,0.5,9,0
11,1,15,2,2,7,3
12,2,21,2,2,9,7
13,1,21,2,2,4,9
14,2,25,4,2,2,5
15,2,23,8,0.5,7,1
16,1,21,8,0.5,1,4
17,3,23,2,0.5,8,0
18,2,25,2,3.5,5,8
19,2,25,4,0.5,2,8
20,3,15,6,2,7,0
21,3,15,4,2,1,0
22,3,15,2,0.5,4,0
23,1,15,6,0.5,3,5
24,3,23,4,2,1,0
25,2,25,4,0.5,8,11
26,1,25,2,0.5,8,5
27,1,25,2,2,11,2
28,3,23,2,0.5,3,0
29,1,15,8,0.5,1,7
30,2,25,2,0.5,8,5
31,1,17,6,0.5,5,8
32,3,15,2,0.5,4,0
33,2,17,4,3.5,1,8
34,1,25,2,3.5,11,5
35,1,23,4,0.5,10,1
36,2,21,2,0.5,9,7
