nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,23,6,2,0,1
2,2,23,2,0.5,4,10
3,1,15,2,0.5,1,7
4,2,21,8,2,4,1
5,2,19,2,0.5,4,6
6,1,23,2,3.5,1,7
7,1,17,8,2,5,8
8,1,23,4,0.5,10,4
9,1,25,2,2,5,8
10,3,25,2,3.5,0,9
11,3,25,6,3.5,1,0
12,3,25,4,0.5,4,0
13,1,19,2,2,1,6
14,3,17,6,0.5,0,3
15,2,25,2,0.5,8,2
16,2,25,4,2,8,5
17,1,25,4,0.5,11,5
18,3,17,6,3.5,0,4
19,2,25,4,0.5,2,11
20,2,23,2,0.5,7,4
21,3,21,2,0.5,0,1
22,1,21,4,0.5,4,9
23,3,15,2,3.5,4,0
24,2,17,8,0.5,1,3
25,3,17,4,2,0,8
26,2,23,2,0.5,10,1
27,3,17,4,0.5,3,0
28,1,19,2,0.5,6,1
29,1,25,2,2,11,8
30,1,25,2,0.5,8,11
31,3,23,2,0.5,8,0
32,2,17,4,3.5,3,1
33,2,25,4,2,11,2
34,1,21,2,0.5,9,7
35,2,25,2,2,2,5
36,3,23,6,0.5,0,10
