nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,21,6,0.5,1,4
2,1,17,2,3.5,1,3
3,2,25,6,3.5,2,8
4,2,23,2,2,4,7
5,1,23,2,0.5,10,1
6,3,15,2,2,2,0
7,3,21,2,0.5,0,5
8,2,19,4,3.5,9,6
9,3,25,2,0.5,0,6
10,2,15,8,0.5,3,7
11,3,17,2,0.5,1,0
12,3,15,2,2,2,0
13,2,21,8,2,4,7
14,1,19,2,0.5,9,1
15,1,15,6,0.5,5,1
16,3,19,6,2,9,0
17,1,17,4,0.5,3,1
18,3,17,4,0.5,1,0
19,3,19,2,0.5,0,9
20,3,21,4,3.5,0,1
21,1,17,2,3.5,8,3
22,2,23,2,0.5,1,7
23,2,15,4,0.5,5,1
24,1,21,2,2,7,4
25,3,17,4,0.5,0,6
26,1,19,2,0.5,4,1
27,1,15,2,0.5,5,7
28,2,21,4,2,7,9
29,3,23,4,3.5,0,3
30,1,25,6,2,2,11
31,2,25,2,0.5,11,8
32,3,21,2,0.5,7,0
33,1,17,4,0.5,8,3
34,2,23,2,2,1,10
35,2,19,4,2,6,4
36,1,17,8,0.5,3,8
