nTrial,Block,Partner,Endowment,ITI,ISI,L_Option,R_Option
1,2,1,25,10,0.75,3.75,6.25
2,2,2,17,0.75,0.75,5.95,7.65
3,2,2,15,8,0.75,2.25,6.75
4,3,1,15,0.75,0.75,0.05,0
5,1,2,23,0.75,0.75,5.75,10.35
6,1,2,23,0.75,0.75,5.75,8.05
7,2,1,21,0.75,0.75,3.15,5.25
8,1,2,19,0.75,12,0.95,2.85
9,2,2,21,0.75,0.75,7.35,9.45
10,2,1,15,0.75,8,5.25,6.75
11,3,1,25,0.75,0.75,0.35,0
12,3,2,15,0.75,0.75,0.5,0
13,3,1,25,0.75,0.75,0.15,0
14,1,2,19,0.75,0.75,2.85,8.55
15,1,1,15,0.75,0.75,0.75,5.25
16,1,2,17,0.75,0.75,5.95,7.65
17,1,1,25,10,0.75,6.25,11.25
18,1,1,23,0.75,0.75,1.15,3.45
19,1,2,17,0.75,8,0.85,4.25
20,1,1,17,0.75,0.75,2.55,5.95
21,1,1,25,0.75,0.75,8.75,11.25
22,1,2,23,0.75,0.75,3.45,8.05
23,2,1,23,0.75,8,1.15,5.75
24,2,1,17,0.75,0.75,2.55,5.95
25,2,2,17,0.75,10,4.25,5.95
26,2,1,21,0.75,0.75,5.25,9.45
27,3,2,15,0.75,0.75,0.3,0
28,3,2,21,0.75,0.75,0.3,0
29,2,2,23,0.75,0.75,1.15,8.05
30,3,1,15,0.75,12,0.15,0
31,3,1,19,0.75,0.75,0.25,0
32,1,1,23,0.75,0.75,3.45,8.05
33,2,1,25,0.75,0.75,3.75,6.25
34,3,2,15,12,0.75,0.1,0
35,1,2,23,0.75,0.75,5.75,10.35
36,2,2,21,8,0.75,3.15,7.35
37,1,1,17,8,0.75,2.55,7.65
38,1,2,23,0.75,0.75,1.15,3.45
39,1,1,17,0.75,0.75,0.85,2.55
40,2,2,21,8,0.75,1.05,7.35
41,3,2,17,0.75,0.75,0.7,0
42,3,2,19,0.75,0.75,0.9,0
43,2,1,23,0.75,0.75,5.75,8.05
44,3,2,21,0.75,0.75,0.9,0
45,2,1,17,0.75,0.75,2.55,7.65
46,1,1,21,0.75,0.75,5.25,9.45
47,1,1,17,0.75,0.75,0.85,5.95
48,2,2,15,8,0.75,0.75,6.75
49,2,2,21,0.75,0.75,5.25,7.35
50,3,2,25,0.75,0.75,0.1,0
51,2,2,25,0.75,0.75,6.25,8.75
52,2,1,15,0.75,0.75,2.25,6.75
53,3,2,23,0.75,0.75,0.1,0
54,3,1,21,0.75,0.75,0.05,0
55,2,2,21,0.75,12,1.05,9.45
56,3,2,19,0.75,0.75,0.9,0
57,3,2,19,0.75,10,0.7,0
58,1,2,25,0.75,0.75,1.25,11.25
59,1,1,17,0.75,0.75,0.85,5.95
60,2,1,17,0.75,0.75,0.85,4.25
61,2,1,21,0.75,0.75,3.15,5.25
62,3,2,21,0.75,0.75,0.7,0
63,3,1,19,0.75,0.75,0.25,0
64,3,1,25,0.75,0.75,0.35,0
65,1,1,25,0.75,0.75,1.25,11.25
66,2,1,23,0.75,0.75,3.45,5.75
67,3,2,23,0.75,10,0.9,0
68,1,1,15,0.75,0.75,0.75,6.75
69,3,1,15,0.75,0.75,0.25,0
70,3,2,25,0.75,0.75,0.5,0
71,1,1,19,10,0.75,0.95,4.75
72,3,2,25,0.75,0.75,0.3,0
