Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,green,100,1,['j'],2.1788766000099713,wide
30,13,green,100,1,['j'],1.7603419999941252,wide
40,13,green,100,1,['j'],1.0214806000003591,wide
50,13,green,100,0,['j'],1.9789782000007108,wide
60,13,green,100,0,['j'],0.7606450999883236,wide
70,13,green,100,1,['f'],1.509937999988324,wide
80,13,green,100,0,['j'],0.9789980000059586,wide
90,13,green,100,1,['f'],1.1209452000039164,wide
20,13,green,50,0,['f'],3.390337200005888,wide
30,13,green,50,1,['j'],2.379448899999261,wide
40,13,green,50,1,['j'],1.5609072999941418,wide
50,13,green,50,0,['j'],1.9898723000078462,wide
60,13,green,50,0,['j'],1.0431505000015022,wide
70,13,green,50,0,['j'],0.7210064999962924,wide
80,13,green,50,0,['j'],0.8776537000085227,wide
90,13,green,50,0,['j'],0.7307512999977916,wide
20,13,blue,100,1,['j'],2.9520880000054603,narrow
30,13,blue,100,1,['j'],1.5411810999939917,narrow
40,13,blue,100,0,['j'],2.370534299989231,narrow
50,13,blue,100,0,['j'],0.6717268000065815,narrow
60,13,blue,100,0,['j'],0.7010479000018677,narrow
70,13,blue,100,1,['f'],1.6264186000043992,narrow
80,13,blue,100,0,['j'],1.1592396999913035,narrow
90,13,blue,100,1,['f'],1.3966872999881161,narrow
20,13,blue,50,0,No_resp,4,narrow
30,13,blue,50,1,['j'],1.379349099996034,narrow
40,13,blue,50,1,['j'],2.560423000002629,narrow
50,13,blue,50,0,['j'],0.7015001999970991,narrow
60,13,blue,50,1,['f'],1.0828558999928646,narrow
70,13,blue,50,1,['f'],0.9042634999932488,narrow
80,13,blue,50,0,['j'],0.9654587999975774,narrow
90,13,blue,50,1,['f'],0.5629267000040272,narrow
20,13,red,100,1,['j'],3.1197212999977637,skew
30,13,red,100,1,['j'],1.148996599993552,skew
40,13,red,100,1,['j'],0.6823824000020977,skew
50,13,red,100,0,['f'],1.2553048000117997,skew
60,13,red,100,1,['j'],0.45266759999503847,skew
70,13,red,100,0,['j'],0.7539797999925213,skew
80,13,red,100,1,['f'],0.5907506000075955,skew
90,13,red,100,1,['j'],0.9561240000039106,skew
20,13,red,50,0,['f'],1.961564899989753,skew
30,13,red,50,1,['j'],1.1909384000027785,skew
40,13,red,50,1,['j'],1.1400179999909597,skew
50,13,red,50,0,['f'],1.2332339999993565,skew
60,13,red,50,0,['f'],0.7665983999904711,skew
70,13,red,50,0,['j'],0.6681279000040377,skew
80,13,red,50,0,['j'],0.6651487000053748,skew
90,13,red,50,0,['j'],0.9023600000073202,skew
20,13,yellow,100,0,['j'],2.291474700003164,True_unkown
30,13,yellow,100,1,['j'],1.5049144999939017,True_unkown
40,13,yellow,100,1,['j'],1.4537617000023602,True_unkown
50,13,yellow,100,1,['f'],0.6833455999876605,True_unkown
60,13,yellow,100,0,['j'],1.512532499997178,True_unkown
70,13,yellow,100,0,['j'],1.4773061000014422,True_unkown
80,13,yellow,100,0,['j'],1.090975899991463,True_unkown
90,13,yellow,100,1,['f'],0.7038433999987319,True_unkown
20,13,yellow,50,0,['f'],0.7172950999956811,True_unkown
30,13,yellow,50,1,['j'],1.8986227999994298,True_unkown
40,13,yellow,50,0,['f'],1.6559338999941247,True_unkown
50,13,yellow,50,0,['j'],1.0451290999917546,True_unkown
60,13,yellow,50,1,['f'],1.7459397000056924,True_unkown
70,13,yellow,50,0,['j'],0.750825299997814,True_unkown
80,13,yellow,50,1,['f'],1.3401040000026114,True_unkown
90,13,yellow,50,1,['f'],0.9370892000006279,True_unkown
