TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,1,0.750000,1.0,0.0,4.0156293,0.0,999.0,999.0,999.0,6.529056,7.5461054,3.530476,7.5464935,8.311587
2,2,1,1,1,1,0.750000,1.0,1.0,8.317089,0.0,999.0,999.0,999.0,10.829945,11.846881,3.5297914,11.847192,12.612372
3,3,1,1,1,1,0.750000,1.0,2.0,12.617724,0.0,999.0,999.0,999.0,15.130306,16.147251,3.5295272,16.147684,16.913088
4,4,1,1,1,1,0.750000,1.0,3.0,16.918512,0.0,999.0,999.0,999.0,19.430931,20.448166,3.5296526,20.448488,21.213642
5,5,1,1,1,1,0.750000,1.0,4.0,21.21909,0.0,999.0,999.0,999.0,23.731945,24.748825,3.5297368,24.74914,25.514347
6,6,1,1,1,3,0.750000,1.0,5.0,25.519754,0.0,999.0,999.0,999.0,28.032518,29.0502,3.5304458,29.050522,29.814875
7,7,1,1,1,1,0.750000,1.0,6.0,29.820518,0.0,999.0,999.0,999.0,32.333103,33.34955,3.5290298,33.34986,34.11558
8,8,1,1,1,2,10,1.0,7.0,34.120995,0.0,999.0,999.0,999.0,36.63377,37.650864,3.52987,37.651173,47.668064
9,9,2,6,3,2,0.750000,1.0,8.0,48.48158,0.0,999.0,999.0,999.0,50.984985,52.00193,3.5203533,52.002243,52.768112
10,10,2,6,3,3,0.750000,1.0,9.0,53.527313,0.0,999.0,999.0,999.0,56.035244,57.05235,3.5250373,57.052666,57.83409
11,11,2,6,3,3,0.750000,1.0,10.0,58.586426,0.0,999.0,999.0,999.0,61.103886,62.121136,3.53471,62.121464,62.886726
12,12,2,6,3,3,0.750000,1.0,11.0,63.641544,0.0,999.0,999.0,999.0,66.155426,67.17142,3.5298738,67.17173,67.93803
13,13,2,6,3,3,0.750000,1.0,12.0,68.71996,0.0,999.0,999.0,999.0,71.2222,72.239746,3.5197856,72.24007,73.00528
14,14,2,6,3,3,0.750000,1.0,13.0,73.77903,0.0,999.0,999.0,999.0,76.28859,77.30646,3.527425,77.30676,78.068054
15,15,2,6,3,3,0.750000,1.0,14.0,78.81987,0.0,999.0,999.0,999.0,81.33579,82.35255,3.532675,82.35286,83.10715
16,16,2,6,3,1,12,1.0,15.0,83.85692,0.0,999.0,999.0,999.0,86.35857,87.37523,3.518311,87.375534,99.39116
17,17,3,4,2,3,0.750000,1.0,16.0,99.490425,0.0,999.0,999.0,999.0,101.994606,103.01155,3.5211234,103.01186,103.77713
18,18,3,4,2,3,0.750000,1.0,17.0,103.86345,0.0,999.0,999.0,999.0,106.37847,107.3954,3.531948,107.39571,108.16099
19,19,3,4,2,2,0.750000,1.0,18.0,108.24844,0.0,999.0,999.0,999.0,110.7625,111.78019,3.5317492,111.7805,112.545204
