TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,3,2,1,0.750000,1.0,0.0,4.157551,2.0,6.0567517,1.8992009,9.0,6.6718655,7.7039986,3.5464475,7.704373,8.470393
2,2,1,3,2,3,0.750000,1.0,1.0,8.56242,0.0,999.0,999.0,999.0,11.071809,12.087265,3.5248458,12.087592,12.837621
3,3,1,3,2,2,0.750000,1.0,2.0,12.926873,0.0,999.0,999.0,999.0,15.438693,16.454996,3.5281234,16.455416,17.220486
4,4,1,3,2,1,0.750000,1.0,3.0,17.310266,0.0,999.0,999.0,999.0,19.822008,20.838974,3.528707,20.839289,21.620262
5,5,1,3,2,1,0.750000,1.0,4.0,21.70933,0.0,999.0,999.0,999.0,24.23969,25.257097,3.547768,25.25741,26.022793
6,6,1,3,2,1,0.750000,1.0,5.0,26.110483,0.0,999.0,999.0,999.0,28.625374,29.641506,3.531024,29.64184,30.406763
7,7,1,3,2,1,0.750000,1.0,6.0,30.495731,0.0,999.0,999.0,999.0,33.007816,34.024612,3.5288825,34.02493,34.79123
8,8,1,3,2,1,12,1.0,7.0,34.879227,0.0,999.0,999.0,999.0,37.39233,38.40941,3.5301857,38.409725,50.410553
9,9,2,5,3,1,0.750000,1.0,8.0,51.25459,0.0,999.0,999.0,999.0,53.761963,54.77976,3.5251687,54.780067,55.544353
10,10,2,5,3,1,0.750000,1.0,9.0,56.30414,0.0,999.0,999.0,999.0,58.812756,59.830147,3.52601,59.83046,60.595654
11,11,2,5,3,1,0.750000,1.0,10.0,61.345898,0.0,999.0,999.0,999.0,63.846996,64.86402,3.5181181,64.86434,65.62959
12,12,2,5,3,2,0.750000,1.0,11.0,66.38599,0.0,999.0,999.0,999.0,68.89788,69.9147,3.5287216,69.915016,70.680534
13,13,2,5,3,2,0.750000,1.0,12.0,71.428535,0.0,999.0,999.0,999.0,73.932465,74.949524,3.5209901,74.94983,75.71469
14,14,2,5,3,1,0.750000,1.0,13.0,76.4648,0.0,999.0,999.0,999.0,78.98219,79.99949,3.53469,79.99981,80.765564
15,15,2,5,3,1,0.750000,1.0,14.0,81.514244,0.0,999.0,999.0,999.0,84.01715,85.03404,3.5197928,85.034355,85.80062
16,16,2,5,3,1,8,1.0,15.0,86.55232,0.0,999.0,999.0,999.0,89.06792,90.084915,3.532591,90.085236,98.10176
17,17,3,2,1,1,0.750000,1.0,16.0,98.11687,0.0,999.0,999.0,999.0,100.61988,101.63701,3.5201383,101.63732,102.40252
18,18,3,2,1,3,0.750000,1.0,17.0,102.40798,0.0,999.0,999.0,999.0,104.920364,105.93791,3.5299332,105.938225,106.7031
