LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
1,60,8,blue,5,Narrow,No_resp,10
1,70,8,blue,5,Narrow,No_resp,10
0,50,8,blue,5,Narrow,No_resp,10
0,50,8,blue,5,Narrow,No_resp,10
1,40,8,blue,5,Narrow,No_resp,10
1,30,8,blue,5,Narrow,No_resp,10
0,50,8,blue,5,Narrow,No_resp,10
1,60,8,blue,5,Narrow,No_resp,10
0,40,8,blue,5,Narrow,No_resp,10
1,50,8,blue,5,Narrow,No_resp,10
0,60,8,blue,5,Narrow,No_resp,10
1,60,8,blue,5,Narrow,No_resp,10
0,50,8,blue,5,Narrow,No_resp,10
1,40,8,blue,5,Narrow,No_resp,10
1,50,8,blue,5,Narrow,No_resp,10
0,50,8,blue,5,Narrow,No_resp,10
0,40,8,blue,5,Narrow,No_resp,10
0,30,8,blue,5,Narrow,No_resp,10
1,70,8,blue,5,Narrow,No_resp,10
0,50,8,blue,5,Narrow,No_resp,10
1,20,8,green,5,wide,No_resp,10
1,10,8,green,5,wide,No_resp,10
0,10,8,green,5,wide,No_resp,10
1,90,8,green,5,wide,No_resp,10
0,100,8,green,5,wide,No_resp,10
0,80,8,green,5,wide,No_resp,10
1,10,8,green,5,wide,No_resp,10
1,0,8,green,5,wide,No_resp,10
1,90,8,green,5,wide,No_resp,10
1,90,8,green,5,wide,No_resp,10
1,90,8,green,5,wide,No_resp,10
0,100,8,green,5,wide,No_resp,10
0,100,8,green,5,wide,No_resp,10
0,10,8,green,5,wide,No_resp,10
1,0,8,green,5,wide,No_resp,10
1,20,8,green,5,wide,No_resp,10
0,80,8,green,5,wide,No_resp,10
0,0,8,green,5,wide,No_resp,10
0,100,8,green,5,wide,No_resp,10
0,0,8,green,5,wide,No_resp,10
1,90,8,red,5,Skew,No_resp,10
1,90,8,red,5,Skew,No_resp,10
0,80,8,red,5,Skew,No_resp,10
1,90,8,red,5,Skew,No_resp,10
0,60,8,red,5,Skew,No_resp,10
1,70,8,red,5,Skew,No_resp,10
1,100,8,red,5,Skew,No_resp,10
0,80,8,red,5,Skew,No_resp,10
0,80,8,red,5,Skew,No_resp,10
1,80,8,red,5,Skew,No_resp,10
0,70,8,red,5,Skew,No_resp,10
0,100,8,red,5,Skew,No_resp,10
0,80,8,red,5,Skew,No_resp,10
0,80,8,red,5,Skew,No_resp,10
1,90,8,red,5,Skew,No_resp,10
1,80,8,red,5,Skew,No_resp,10
1,60,8,red,5,Skew,No_resp,10
0,80,8,red,5,Skew,No_resp,10
0,70,8,red,5,Skew,No_resp,10
1,70,8,red,5,Skew,No_resp,10
