Var1	Var2	trial_type	rt	Var5	Var6
0.6479933	3.0054797	decision	2.8182512	left	B
4.201327	1.0011162	loss	n/a	n/a	n/a
11.1739301	3.0071152	decision	2.3183111	right	B
14.7274131	1.0005709	win	n/a	n/a	n/a
21.6988718	3.0070678	decision	2.3180417	left	B
25.2514923	1.0007148	loss	n/a	n/a	n/a
32.2229727	3.0743964	decision-missed	n/a	n/a	B
35.842443	1.0004215	loss	n/a	n/a	n/a
38.5943492	3.008077	decision	2.0667641	left	B
42.1463635	1.0009528	loss	n/a	n/a	n/a
44.8989422	3.0067061	decision	2.8340703	left	B
48.4509135	1.0010343	win	n/a	n/a	n/a
51.2033089	3.0068166	decision	2.0672233	right	B
54.7558133	1.0005372	win	n/a	n/a	n/a
59.6092726	3.007087	decision	2.0672775	left	B
63.1615402	1.000743	loss	n/a	n/a	n/a
68.0151408	3.007774	decision	2.5677789	left	B
71.5676537	1.0005176	win	n/a	n/a	n/a
74.3196246	3.0741657	decision-missed	n/a	n/a	B
77.9389029	1.0006375	win	n/a	n/a	n/a
NaN	NaN				
0.681539924	3.007006158	decision	1.549410941	right	B
4.231342997	1.000131013	loss	n/a	n/a	n/a
11.23131372	3.006859147	decision	2.066374816	right	B
14.78150168	1.016387148	win	n/a	n/a	n/a
21.79805757	3.007133247	decision	2.316313159	right	B
25.34805535	1.000132522	loss	n/a	n/a	n/a
32.58149093	3.006368604	decision	2.828341117	right	B
36.13125355	1.016555291	loss	n/a	n/a	n/a
38.94789953	3.007672391	decision	1.799658401	left	B
42.49777173	1.000229725	loss	n/a	n/a	n/a
45.2813032	3.007236185	decision	2.316845964	left	B
48.8311428	1.016678757	win	n/a	n/a	n/a
51.63127302	3.089934756	decision	3.082890864	right	B
55.26446052	1.016715585	win	n/a	n/a	n/a
60.1810933	3.088735115	decision	3.082393378	left	B
63.81455853	1.016605402	loss	n/a	n/a	n/a
68.74788365	3.007593602	decision	1.811947932	left	B
72.29774106	1.016513331	win	n/a	n/a	n/a
75.09759024	3.007164642	decision	2.316416097	right	B
78.6476816	1.000202255	win	n/a	n/a	n/a
83.54787471	3.007532926	decision	2.316266067	left	B
87.09803671	1.016231382	loss	n/a	n/a	n/a
94.13109326	3.007258524	decision	2.566212862	left	B
97.68124771	1.016305944	loss	n/a	n/a	n/a
104.7142883	3.06861471	decision-missed	n/a	n/a	B
108.3309464	1.000119541	win	n/a	n/a	n/a
115.3476928	3.007581226	decision	2.316302291	left	B
118.8974566	1.016920858	win	n/a	n/a	n/a
123.8144586	3.006361057	decision	2.83268476	left	B
127.3639363	1.00017418	win	n/a	n/a	n/a
130.1477705	3.006432299	decision	2.832554653	left	B
133.6977179	1.016447824	win	n/a	n/a	n/a
136.4809692	3.006747756	decision	2.828510468	left	B
140.0308628	1.016639815	loss	n/a	n/a	n/a
142.8308068	3.089327389	decision	3.083030631	right	B
146.4638204	1.000028376	loss	n/a	n/a	n/a
155.5641779	3.089709258	decision	3.082929503	right	B
159.1975393	1.016614458	loss	n/a	n/a	n/a
164.1142255	3.006858241	decision	1.799622478	left	B
167.6643332	1.016407977	win	n/a	n/a	n/a
170.4639394	3.006969632	decision	1.81219758	left	B
174.0138575	1.000061582	loss	n/a	n/a	n/a
181.0307246	3.006919521	decision	1.812557412	left	B
184.5805533	1.000063393	loss	n/a	n/a	n/a
187.8974956	3.089337954	decision	3.082870336	right	B
191.5307124	1.016578837	win	n/a	n/a	n/a
194.3307303	3.006722096	decision	2.066319574	right	B
197.8806179	1.016768111	win	n/a	n/a	n/a
204.8974865	3.339659373	decision	3.332735626	left	B
208.7807044	1.000112598	loss	n/a	n/a	n/a
215.7972048	3.006749567	decision	2.565680661	right	B
219.3471141	1.00018384	loss	n/a	n/a	n/a
224.2639262	3.006752284	decision	2.066106452	right	B
227.814055	1.016357262	loss	n/a	n/a	n/a
230.6138468	3.006747756	decision	2.31617792	left	B
234.1638896	1.016641626	loss	n/a	n/a	n/a
241.1974355	3.069270679	decision-missed	n/a	n/a	B
244.8136743	1.000062789	loss	n/a	n/a	n/a
247.6138495	3.005863571	decision	2.066141771	left	B
