Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
6,23,4,0,0.304347826086957,0.173913043478261
7,25,8,0,0.44,0.32
8,15,5,1,0.333333333333333,0.2
15,17,5,0,0.470588235294118,0.294117647058824
20,21,9,1,0.428571428571429,0.0476190476190476
30,23,10,1,0.434782608695652,0.304347826086957
31,17,8,1,0.470588235294118,0.176470588235294
32,17,8,1,0.470588235294118,0.0588235294117647
33,17,3,0,0.294117647058824,0.176470588235294
34,21,9,1,0.428571428571429,0.0476190476190476
36,19,1,0,0.315789473684211,0.0526315789473684
