Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,25,8,1,0.32,0.2
2,19,6,1,0.315789473684211,0.210526315789474
3,17,8,1,0.470588235294118,0.0588235294117647
5,25,8,1,0.32,0.2
11,19,9,1,0.473684210526316,0.210526315789474
13,23,4,1,0.173913043478261,0.0434782608695652
17,21,9,1,0.428571428571429,0.0476190476190476
18,25,11,1,0.44,0.32
20,23,4,1,0.173913043478261,0.0434782608695652
21,25,11,1,0.44,0.2
26,19,6,1,0.315789473684211,0.0526315789473684
35,17,8,1,0.470588235294118,0.294117647058824
