Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
3,21,9,1,9,0.428571428571429
11,21,4,1,4,0.19047619047619
12,21,9,1,9,0.428571428571429
14,21,7,1,7,0.333333333333333
15,19,4,1,4,0.210526315789474
18,17,5,1,5,0.294117647058824
21,23,10,1,10,0.434782608695652
22,21,7,1,7,0.333333333333333
23,21,9,1,9,0.428571428571429
3,21,9,1,9,0.428571428571429
10,17,8,1,8,0.470588235294118
23,21,9,1,9,0.428571428571429
27,17,8,1,8,0.470588235294118
29,17,8,1,8,0.470588235294118
32,25,11,1,11,0.44
33,19,6,1,6,0.315789473684211
36,25,11,1,11,0.44
