Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,15,1,0,0.333333333333333,0.0666666666666667
2,19,1,0,0.210526315789474,0.0526315789473684
5,21,1,0,0.333333333333333,0.0476190476190476
6,21,9,1,0.428571428571429,0.0476190476190476
13,19,6,1,0.315789473684211,0.210526315789474
15,19,6,0,0.473684210526316,0.315789473684211
20,23,10,1,0.434782608695652,0.304347826086957
22,23,4,0,0.434782608695652,0.173913043478261
26,17,8,1,0.470588235294118,0.176470588235294
31,19,9,1,0.473684210526316,0.315789473684211
33,17,3,0,0.470588235294118,0.176470588235294
34,19,4,0,0.473684210526316,0.210526315789474
2,21,4,1,0.19047619047619,0.0476190476190476
3,25,2,0,0.32,0.08
4,19,4,0,0.315789473684211,0.210526315789474
7,25,5,0,0.44,0.2
10,19,1,0,0.473684210526316,0.0526315789473684
16,17,8,1,0.470588235294118,0.294117647058824
17,23,4,1,0.173913043478261,0.0434782608695652
18,19,4,1,0.210526315789474,0.0526315789473684
19,17,1,0,0.294117647058824,0.0588235294117647
27,17,5,1,0.294117647058824,0.176470588235294
29,19,9,1,0.473684210526316,0.0526315789473684
32,15,7,1,0.466666666666667,0.333333333333333
