Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,23,10,1,0.434782608695652,0.0434782608695652
3,19,6,0,0.473684210526316,0.315789473684211
5,25,5,1,0.2,0.08
6,19,9,1,0.473684210526316,0.0526315789473684
10,25,11,1,0.44,0.2
13,19,9,1,0.473684210526316,0.210526315789474
14,25,5,1,0.2,0.08
17,23,10,1,0.434782608695652,0.304347826086957
18,23,7,1,0.304347826086957,0.0434782608695652
19,17,8,1,0.470588235294118,0.294117647058824
23,17,3,1,0.176470588235294,0.0588235294117647
36,17,5,1,0.294117647058824,0.0588235294117647
