Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,25,8,0,0.44,0.32
3,21,9,1,0.428571428571429,0.0476190476190476
6,17,8,1,0.470588235294118,0.0588235294117647
7,15,7,1,0.466666666666667,0.333333333333333
9,15,1,0,0.2,0.0666666666666667
10,15,7,1,0.466666666666667,0.333333333333333
24,19,6,1,0.315789473684211,0.210526315789474
25,17,5,1,0.294117647058824,0.0588235294117647
27,23,7,1,0.304347826086957,0.173913043478261
28,19,9,1,0.473684210526316,0.210526315789474
29,25,8,0,0.44,0.32
35,23,4,1,0.173913043478261,0.0434782608695652
4,17,3,1,0.176470588235294,0.0588235294117647
5,25,8,1,0.32,0.08
6,15,5,1,0.333333333333333,0.0666666666666667
7,23,7,1,0.304347826086957,0.173913043478261
16,15,7,1,0.466666666666667,0.0666666666666667
20,19,9,1,0.473684210526316,0.315789473684211
21,15,7,1,0.466666666666667,0.2
23,23,10,1,0.434782608695652,0.304347826086957
28,23,7,1,0.304347826086957,0.173913043478261
29,21,9,1,0.428571428571429,0.0476190476190476
31,21,7,1,0.333333333333333,0.0476190476190476
35,21,9,1,0.428571428571429,0.333333333333333
