Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,15,1,0,0.466666666666667,0.0666666666666667
5,19,4,1,0.210526315789474,0.0526315789473684
6,17,5,1,0.294117647058824,0.176470588235294
12,23,7,0,0.434782608695652,0.304347826086957
13,19,9,1,0.473684210526316,0.315789473684211
18,21,7,1,0.333333333333333,0.0476190476190476
19,15,7,1,0.466666666666667,0.2
20,23,1,0,0.434782608695652,0.0434782608695652
21,21,7,1,0.333333333333333,0.0476190476190476
26,19,9,1,0.473684210526316,0.210526315789474
33,17,5,1,0.294117647058824,0.176470588235294
36,17,8,1,0.470588235294118,0.294117647058824
