Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,17,5,1,0.294117647058824,0.0588235294117647
3,17,8,1,0.470588235294118,0.0588235294117647
4,17,8,1,0.470588235294118,0.176470588235294
9,23,7,1,0.304347826086957,0.173913043478261
10,15,5,1,0.333333333333333,0.0666666666666667
11,19,9,1,0.473684210526316,0.0526315789473684
14,19,4,1,0.210526315789474,0.0526315789473684
16,25,8,1,0.32,0.2
26,21,7,1,0.333333333333333,0.0476190476190476
29,19,9,1,0.473684210526316,0.210526315789474
31,19,9,1,0.473684210526316,0.0526315789473684
32,17,5,1,0.294117647058824,0.0588235294117647
