Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
5,23,10,1,0.434782608695652,0.173913043478261
11,17,3,1,0.176470588235294,0.0588235294117647
12,19,6,1,0.315789473684211,0.0526315789473684
16,15,5,1,0.333333333333333,0.0666666666666667
18,19,4,1,0.210526315789474,0.0526315789473684
19,25,8,1,0.32,0.2
20,19,9,1,0.473684210526316,0.315789473684211
30,23,10,1,0.434782608695652,0.173913043478261
31,19,9,1,0.473684210526316,0.210526315789474
33,21,9,1,0.428571428571429,0.0476190476190476
34,23,4,1,0.173913043478261,0.0434782608695652
36,23,7,1,0.304347826086957,0.0434782608695652
1,15,7,1,0.466666666666667,0.333333333333333
4,25,8,1,0.32,0.2
7,23,10,1,0.434782608695652,0.0434782608695652
10,19,9,1,0.473684210526316,0.210526315789474
11,21,9,1,0.428571428571429,0.19047619047619
15,21,7,1,0.333333333333333,0.19047619047619
17,15,7,1,0.466666666666667,0.2
19,23,7,1,0.304347826086957,0.173913043478261
27,25,8,1,0.32,0.08
29,19,9,1,0.473684210526316,0.315789473684211
31,21,7,1,0.333333333333333,0.0476190476190476
33,21,7,1,0.333333333333333,0.0476190476190476
