Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
11,21,4,1,0.19047619047619,0.0476190476190476
12,21,7,1,0.333333333333333,0.19047619047619
15,19,4,1,0.210526315789474,0.0526315789473684
17,23,10,1,0.434782608695652,0.173913043478261
19,15,3,1,0.2,0.0666666666666667
20,17,8,1,0.470588235294118,0.0588235294117647
22,25,11,1,0.44,0.32
25,15,7,1,0.466666666666667,0.333333333333333
29,23,7,1,0.304347826086957,0.173913043478261
31,23,10,1,0.434782608695652,0.0434782608695652
32,19,6,1,0.315789473684211,0.210526315789474
36,17,5,1,0.294117647058824,0.0588235294117647
