Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,15,7,1,0.466666666666667,0.333333333333333
6,19,6,1,0.315789473684211,0.0526315789473684
7,21,9,1,0.428571428571429,0.19047619047619
10,17,8,1,0.470588235294118,0.294117647058824
11,15,7,1,0.466666666666667,0.333333333333333
12,17,8,1,0.470588235294118,0.0588235294117647
15,25,8,1,0.32,0.08
20,19,6,1,0.315789473684211,0.0526315789473684
21,15,7,1,0.466666666666667,0.2
24,21,4,0,0.333333333333333,0.19047619047619
30,15,5,1,0.333333333333333,0.2
35,21,7,1,0.333333333333333,0.19047619047619
