Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,21,7,1,0.333333333333333,0.19047619047619
4,25,11,1,0.44,0.2
7,19,9,1,0.473684210526316,0.0526315789473684
8,23,4,1,0.173913043478261,0.0434782608695652
9,19,9,1,0.473684210526316,0.210526315789474
10,21,9,1,0.428571428571429,0.19047619047619
13,15,5,1,0.333333333333333,0.0666666666666667
15,21,7,1,0.333333333333333,0.19047619047619
16,17,3,1,0.176470588235294,0.0588235294117647
25,15,7,1,0.466666666666667,0.2
32,17,5,1,0.294117647058824,0.0588235294117647
34,19,4,1,0.210526315789474,0.0526315789473684
