Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
1,25,11,1,11,0.44
3,15,1,1,1,0.0666666666666667
11,25,2,1,2,0.08
14,25,5,1,5,0.2
18,23,10,1,10,0.434782608695652
21,21,7,1,7,0.333333333333333
25,25,5,1,5,0.2
26,23,7,1,7,0.304347826086957
28,19,9,1,9,0.473684210526316
33,21,4,1,4,0.19047619047619
4,17,5,1,5,0.294117647058824
7,21,9,1,9,0.428571428571429
15,21,1,1,1,0.0476190476190476
17,25,5,1,5,0.2
20,21,4,1,4,0.19047619047619
28,19,4,1,4,0.210526315789474
34,25,5,1,5,0.2
36,23,10,1,10,0.434782608695652
