Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
6,15,5,0,0.466666666666667,0.333333333333333
8,25,5,1,0.2,0.08
10,19,6,1,0.315789473684211,0.210526315789474
11,23,4,1,0.173913043478261,0.0434782608695652
12,17,5,1,0.294117647058824,0.0588235294117647
17,19,4,0,0.473684210526316,0.210526315789474
18,15,5,1,0.333333333333333,0.0666666666666667
24,23,4,0,0.304347826086957,0.173913043478261
26,25,11,1,0.44,0.08
28,19,4,0,0.315789473684211,0.210526315789474
29,19,1,0,0.315789473684211,0.0526315789473684
35,25,8,0,0.44,0.32
