Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
7,25,2,1,2,0.08
9,21,4,1,4,0.19047619047619
13,25,11,1,11,0.44
14,25,8,1,8,0.32
15,23,7,1,7,0.304347826086957
17,15,7,1,7,0.466666666666667
20,19,6,1,6,0.315789473684211
25,15,7,1,7,0.466666666666667
31,15,3,1,3,0.2
2,23,4,1,4,0.173913043478261
11,21,7,1,7,0.333333333333333
17,15,7,1,7,0.466666666666667
18,15,7,1,7,0.466666666666667
19,19,6,1,6,0.315789473684211
20,19,9,1,9,0.473684210526316
22,23,10,1,10,0.434782608695652
24,21,7,1,7,0.333333333333333
27,25,5,1,5,0.2
29,21,4,1,4,0.19047619047619
