Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
10,25,11,1,11,0.44
11,17,8,1,8,0.470588235294118
15,21,4,1,4,0.19047619047619
16,17,3,1,3,0.176470588235294
20,19,6,1,6,0.315789473684211
23,15,5,1,5,0.333333333333333
27,21,7,1,7,0.333333333333333
30,17,5,1,5,0.294117647058824
35,15,3,1,3,0.2
1,17,3,1,3,0.176470588235294
5,15,7,1,7,0.466666666666667
12,15,5,1,5,0.333333333333333
13,25,11,1,11,0.44
21,15,3,1,3,0.2
24,15,7,1,7,0.466666666666667
34,15,3,1,3,0.2
35,23,4,1,4,0.173913043478261
36,25,8,1,8,0.32
