Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
1,25,5,1,5,0.2
4,25,11,1,11,0.44
7,17,8,1,8,0.470588235294118
9,21,7,1,7,0.333333333333333
11,19,9,1,9,0.473684210526316
21,17,5,1,5,0.294117647058824
30,17,1,1,1,0.0588235294117647
32,17,8,1,8,0.470588235294118
36,23,10,1,10,0.434782608695652
2,25,5,1,5,0.2
7,25,8,1,8,0.32
12,21,7,1,7,0.333333333333333
18,25,5,1,5,0.2
19,19,4,1,4,0.210526315789474
21,19,4,1,4,0.210526315789474
22,23,7,1,7,0.304347826086957
25,23,4,1,4,0.173913043478261
26,25,11,1,11,0.44
28,25,11,1,11,0.44
32,19,6,1,6,0.315789473684211
