Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
6,17,8,1,8,0.470588235294118
8,17,1,1,1,0.0588235294117647
11,25,11,1,11,0.44
12,25,5,1,5,0.2
14,21,4,1,4,0.19047619047619
15,19,4,1,4,0.210526315789474
19,15,5,1,5,0.333333333333333
25,15,1,1,1,0.0666666666666667
35,23,7,1,7,0.304347826086957
5,17,3,1,3,0.176470588235294
10,19,9,1,9,0.473684210526316
13,23,4,1,4,0.173913043478261
14,15,1,1,1,0.0666666666666667
16,15,5,1,5,0.333333333333333
17,15,7,1,7,0.466666666666667
19,25,5,1,5,0.2
21,23,10,1,10,0.434782608695652
24,15,1,1,1,0.0666666666666667
25,23,4,1,4,0.173913043478261
30,17,5,1,5,0.294117647058824
33,15,7,1,7,0.466666666666667
