Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
3,19,9,1,9,0.473684210526316
4,19,6,1,6,0.315789473684211
12,19,6,1,6,0.315789473684211
16,21,9,1,9,0.428571428571429
22,15,5,1,5,0.333333333333333
26,21,9,1,9,0.428571428571429
28,19,1,1,1,0.0526315789473684
30,25,8,1,8,0.32
31,15,7,1,7,0.466666666666667
36,19,4,1,4,0.210526315789474
1,25,8,1,8,0.32
6,15,3,1,3,0.2
7,21,4,1,4,0.19047619047619
8,15,5,1,5,0.333333333333333
9,15,1,1,1,0.0666666666666667
15,23,10,1,10,0.434782608695652
21,19,1,1,1,0.0526315789473684
23,25,11,1,11,0.44
24,21,4,1,4,0.19047619047619
25,19,1,1,1,0.0526315789473684
27,23,7,1,7,0.304347826086957
30,21,4,1,4,0.19047619047619
