Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
3,25,5,1,0.2,0.08
11,17,3,1,0.176470588235294,0.0588235294117647
14,25,8,0,0.44,0.32
18,19,9,1,0.473684210526316,0.0526315789473684
21,21,4,0,0.333333333333333,0.19047619047619
23,17,8,1,0.470588235294118,0.176470588235294
24,19,9,1,0.473684210526316,0.0526315789473684
25,23,1,0,0.434782608695652,0.0434782608695652
29,17,8,1,0.470588235294118,0.0588235294117647
30,25,8,1,0.32,0.08
32,17,5,1,0.294117647058824,0.0588235294117647
36,15,3,0,0.333333333333333,0.2
