Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
2,23,1,1,1,0.0434782608695652
3,17,1,1,1,0.0588235294117647
10,19,4,1,4,0.210526315789474
11,21,4,1,4,0.19047619047619
12,17,1,1,1,0.0588235294117647
16,17,8,1,8,0.470588235294118
21,19,4,1,4,0.210526315789474
28,23,7,1,7,0.304347826086957
29,15,5,1,5,0.333333333333333
32,21,1,1,1,0.0476190476190476
1,25,2,1,2,0.08
7,17,8,1,8,0.470588235294118
11,17,3,1,3,0.176470588235294
14,21,9,1,9,0.428571428571429
16,21,1,1,1,0.0476190476190476
22,21,4,1,4,0.19047619047619
24,23,4,1,4,0.173913043478261
30,17,5,1,5,0.294117647058824
31,15,7,1,7,0.466666666666667
36,21,7,1,7,0.333333333333333
