Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,23,10,1,0.434782608695652,0.0434782608695652
2,25,8,1,0.32,0.2
3,19,9,1,0.473684210526316,0.315789473684211
4,17,3,0,0.294117647058824,0.176470588235294
6,25,5,0,0.44,0.2
10,15,5,0,0.466666666666667,0.333333333333333
18,17,8,1,0.470588235294118,0.176470588235294
20,23,1,0,0.173913043478261,0.0434782608695652
31,21,7,1,0.333333333333333,0.0476190476190476
32,23,1,0,0.434782608695652,0.0434782608695652
33,17,8,1,0.470588235294118,0.294117647058824
36,15,7,1,0.466666666666667,0.2
