Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
6,21,9,1,0.428571428571429,0.0476190476190476
7,21,7,1,0.333333333333333,0.19047619047619
9,25,8,1,0.32,0.2
10,23,10,1,0.434782608695652,0.304347826086957
11,23,4,1,0.173913043478261,0.0434782608695652
17,21,9,1,0.428571428571429,0.0476190476190476
18,25,11,1,0.44,0.32
19,17,8,1,0.470588235294118,0.294117647058824
27,21,9,1,0.428571428571429,0.19047619047619
29,17,8,1,0.470588235294118,0.176470588235294
31,15,3,1,0.2,0.0666666666666667
36,15,3,1,0.2,0.0666666666666667
